date;depo_in_cbr_mlnrur
29.12.2018;1 555 915,14
28.12.2018;1 461 541,69
27.12.2018;1 471 576,29
26.12.2018;1 617 885,47
25.12.2018;1 585 568,43
24.12.2018;1 540 343,58
21.12.2018;1 548 810,08
20.12.2018;1 536 401,06
19.12.2018;1 570 461,07
18.12.2018;1 590 342,05
17.12.2018;1 561 371,91
14.12.2018;1 560 085,69
13.12.2018;1 563 686,38
12.12.2018;1 484 098,46
11.12.2018;1 494 582,03
10.12.2018;1 479 819,16
07.12.2018;1 481 448,53
06.12.2018;1 484 800,88
05.12.2018;2 189 784,61
04.12.2018;2 215 005,75
03.12.2018;1 699 158,02
30.11.2018;1 500 479,47
29.11.2018;1 502 290,49
28.11.2018;1 772 510,03
27.11.2018;1 769 944,20
26.11.2018;1 768 219,65
23.11.2018;1 832 553,29
22.11.2018;1 896 073,29
21.11.2018;2 218 682,55
20.11.2018;2 248 597,79
19.11.2018;1 832 446,47
16.11.2018;1 833 599,22
15.11.2018;1 850 673,95
14.11.2018;1 746 729,16
13.11.2018;1 746 630,82
12.11.2018;1 747 398,05
09.11.2018;1 733 456,23
08.11.2018;1 732 330,89
07.11.2018;2 713 094,64
06.11.2018;2 789 046,21
02.11.2018;2 155 417,57
01.11.2018;2 128 797,17
31.10.2018;1 870 227,97
30.10.2018;1 862 363,22
29.10.2018;1 887 412,43
26.10.2018;1 828 596,55
25.10.2018;1 870 143,04
24.10.2018;2 049 864,03
23.10.2018;2 034 478,70
22.10.2018;2 034 673,44
19.10.2018;2 012 828,79
18.10.2018;2 032 611,06
17.10.2018;1 787 190,13
16.10.2018;1 768 610,84
15.10.2018;1 766 046,62
12.10.2018;1 775 988,61
11.10.2018;1 792 675,76
10.10.2018;3 217 358,88
09.10.2018;2 541 429,52
08.10.2018;2 208 304,02
05.10.2018;2 212 233,79
04.10.2018;2 220 152,91
03.10.2018;1 928 181,10
02.10.2018;2 040 746,56
01.10.2018;2 260 830,25
28.09.2018;1 951 973,70
27.09.2018;1 939 955,97
26.09.2018;2 332 043,33
25.09.2018;2 405 497,61
24.09.2018;2 570 472,15
21.09.2018;2 604 825,97
20.09.2018;2 434 552,45
19.09.2018;2 535 671,86
18.09.2018;2 561 978,03
17.09.2018;2 594 653,56
14.09.2018;2 610 592,32
13.09.2018;2 439 394,29
12.09.2018;2 401 015,34
11.09.2018;2 391 680,67
10.09.2018;2 370 216,33
07.09.2018;2 370 916,09
06.09.2018;2 376 783,93
05.09.2018;2 873 365,44
04.09.2018;2 632 259,03
03.09.2018;2 328 034,41
31.08.2018;2 304 849,43
30.08.2018;2 295 567,21
29.08.2018;2 706 070,45
28.08.2018;2 698 721,19
27.08.2018;2 727 594,66
24.08.2018;2 790 098,97
23.08.2018;2 771 478,50
22.08.2018;2 778 958,64
21.08.2018;2 789 343,50
20.08.2018;2 726 198,20
17.08.2018;2 724 469,60
16.08.2018;2 704 550,53
15.08.2018;2 667 446,33
14.08.2018;2 685 492,99
13.08.2018;2 678 043,39
10.08.2018;2 676 119,34
09.08.2018;2 697 698,32
08.08.2018;3 358 753,73
07.08.2018;3 261 993,13
06.08.2018;2 364 119,23
03.08.2018;2 265 626,08
02.08.2018;1 922 154,55
01.08.2018;2 506 670,17
31.07.2018;2 517 223,73
30.07.2018;2 459 857,42
27.07.2018;2 470 467,87
26.07.2018;2 630 574,23
25.07.2018;2 615 508,86
24.07.2018;2 595 820,79
23.07.2018;2 563 041,26
20.07.2018;2 543 856,66
19.07.2018;2 560 092,83
18.07.2018;3 065 170,44
17.07.2018;3 069 750,93
16.07.2018;3 042 051,78
13.07.2018;3 060 869,35
12.07.2018;3 078 224,54
11.07.2018;4 007 104,66
10.07.2018;3 786 297,28
09.07.2018;3 338 420,67
06.07.2018;3 295 925,05
05.07.2018;3 283 671,07
04.07.2018;2 668 708,94
03.07.2018;2 635 680,18
02.07.2018;2 718 186,23
29.06.2018;2 603 856,52
28.06.2018;2 564 780,83
27.06.2018;3 067 370,11
26.06.2018;3 054 795,73
25.06.2018;3 058 642,57
22.06.2018;3 061 654,21
21.06.2018;3 088 941,14
20.06.2018;3 246 101,23
19.06.2018;3 264 542,78
18.06.2018;3 177 875,08
15.06.2018;3 178 327,16
14.06.2018;3 179 125,13
13.06.2018;2 806 476,72
09.06.2018;2 834 072,64
08.06.2018;2 783 226,44
07.06.2018;2 791 285,98
06.06.2018;3 648 970,33
05.06.2018;3 371 451,39
04.06.2018;2 761 438,81
01.06.2018;2 753 004,62
31.05.2018;2 741 039,93
30.05.2018;2 801 823,10
29.05.2018;2 836 793,45
28.05.2018;2 806 938,06
25.05.2018;3 328 782,08
24.05.2018;3 354 652,36
23.05.2018;3 362 587,84
22.05.2018;3 358 900,92
21.05.2018;3 361 038,42
18.05.2018;3 346 267,08
17.05.2018;3 370 116,49
16.05.2018;3 293 058,49
15.05.2018;3 302 361,62
14.05.2018;2 974 112,91
11.05.2018;2 975 542,53
10.05.2018;3 758 759,16
08.05.2018;3 474 900,24
07.05.2018;2 759 041,41
04.05.2018;2 753 460,47
03.05.2018;2 757 841,70
28.04.2018;2 678 542,09
27.04.2018;2 660 921,28
26.04.2018;2 660 360,37
25.04.2018;3 048 920,69
24.04.2018;3 032 768,23
23.04.2018;3 013 608,74
20.04.2018;2 947 224,10
19.04.2018;2 942 603,31
18.04.2018;2 818 339,31
17.04.2018;2 808 187,37
16.04.2018;2 818 208,09
13.04.2018;2 827 575,35
12.04.2018;2 812 471,36
11.04.2018;3 138 514,29
10.04.2018;3 155 270,77
09.04.2018;2 956 720,54
06.04.2018;2 962 507,49
05.04.2018;2 683 406,08
04.04.2018;2 679 597,72
03.04.2018;2 679 675,59
02.04.2018;2 785 166,64
30.03.2018;2 138 068,68
29.03.2018;2 149 096,51
28.03.2018;2 733 657,40
27.03.2018;2 791 607,01
26.03.2018;2 757 410,48
23.03.2018;3 304 727,39
22.03.2018;3 319 883,03
21.03.2018;3 657 823,00
20.03.2018;3 650 209,14
19.03.2018;3 648 682,52
16.03.2018;2 995 928,87
15.03.2018;2 998 635,70
14.03.2018;3 107 765,96
13.03.2018;2 917 642,72
12.03.2018;2 436 852,61
07.03.2018;3 149 924,77
06.03.2018;2 912 362,00
05.03.2018;2 499 044,21
02.03.2018;2 416 095,86
01.03.2018;2 445 931,02
28.02.2018;2 352 669,65
27.02.2018;2 350 690,81
26.02.2018;2 521 862,62
22.02.2018;2 523 070,89
21.02.2018;3 221 755,46
20.02.2018;3 232 597,24
19.02.2018;3 222 487,17
16.02.2018;3 206 833,34
15.02.2018;3 222 033,43
14.02.2018;3 065 312,30
13.02.2018;3 071 206,67
12.02.2018;3 096 597,36
09.02.2018;3 013 261,31
08.02.2018;3 035 358,03
07.02.2018;3 536 829,13
06.02.2018;3 395 105,35
05.02.2018;3 209 916,64
02.02.2018;3 208 522,05
01.02.2018;2 652 565,37
31.01.2018;2 729 110,82
30.01.2018;2 705 297,20
29.01.2018;2 710 209,78
26.01.2018;2 705 877,80
25.01.2018;2 815 087,40
24.01.2018;2 722 804,45
23.01.2018;2 716 061,76
22.01.2018;2 682 233,54
19.01.2018;2 697 864,67
18.01.2018;2 700 169,51
17.01.2018;2 023 332,37
16.01.2018;2 018 413,49
15.01.2018;2 000 598,89
12.01.2018;1 979 855,72
11.01.2018;2 015 374,96
10.01.2018;3 388 607,67
09.01.2018;2 371 758,61
29.12.2017;1 853 006,64
28.12.2017;1 826 021,57
27.12.2017;1 872 560,79
26.12.2017;1 916 890,78
25.12.2017;2 047 869,29
22.12.2017;1 887 261,01
21.12.2017;1 897 039,78
20.12.2017;1 985 160,88
19.12.2017;1 994 025,16
18.12.2017;2 076 761,72
15.12.2017;2 028 628,66
14.12.2017;2 263 091,61
13.12.2017;2 252 141,18
12.12.2017;2 252 901,63
11.12.2017;1 673 294,65
08.12.2017;1 674 209,24
