Дата;Ключевая ставка;Нижняя граница (ставка по депозитам постоянного действия);"Верхняя граница ""Репо и кредиты (кр. кредитов овернайт)""*";"Верхняя граница ""Кредиты овернайт""";MIACR**;RUONIA
28.12.2018;7,75;6,75;8,75;8,75;7,15;7,07
27.12.2018;7,75;6,75;8,75;8,75;7,56;7,55
26.12.2018;7,75;6,75;8,75;8,75;7,53;7,43
25.12.2018;7,75;6,75;8,75;8,75;7,62;7,62
24.12.2018;7,75;6,75;8,75;8,75;7,59;7,62
21.12.2018;7,75;6,75;8,75;8,75;7,67;7,66
20.12.2018;7,75;6,75;8,75;8,75;7,67;7,66
19.12.2018;7,75;6,75;8,75;8,75;7,67;7,68
18.12.2018;7,75;6,75;8,75;8,75;7,58;7,67
17.12.2018;7,75;6,75;8,75;8,75;7,57;7,57
14.12.2018;7,50;6,50;8,50;8,50;7,50;7,50
13.12.2018;7,50;6,50;8,50;8,50;7,39;7,38
12.12.2018;7,50;6,50;8,50;8,50;7,38;7,40
11.12.2018;7,50;6,50;8,50;8,50;7,49;7,43
10.12.2018;7,50;6,50;8,50;8,50;7,38;7,42
07.12.2018;7,50;6,50;8,50;8,50;7,40;7,38
06.12.2018;7,50;6,50;8,50;8,50;7,37;7,41
05.12.2018;7,50;6,50;8,50;8,50;7,39;7,41
04.12.2018;7,50;6,50;8,50;8,50;7,38;7,41
03.12.2018;7,50;6,50;8,50;8,50;7,32;7,28
30.11.2018;7,50;6,50;8,50;8,50;7,49;7,50
29.11.2018;7,50;6,50;8,50;8,50;7,29;7,29
28.11.2018;7,50;6,50;8,50;8,50;7,44;7,46
27.11.2018;7,50;6,50;8,50;8,50;7,59;7,57
26.11.2018;7,50;6,50;8,50;8,50;7,45;7,43
23.11.2018;7,50;6,50;8,50;8,50;7,07;7,07
22.11.2018;7,50;6,50;8,50;8,50;6,93;6,91
21.11.2018;7,50;6,50;8,50;8,50;7,11;7,12
20.11.2018;7,50;6,50;8,50;8,50;7,01;7,06
19.11.2018;7,50;6,50;8,50;8,50;7,07;7,01
16.11.2018;7,50;6,50;8,50;8,50;7,02;6,92
15.11.2018;7,50;6,50;8,50;8,50;7,08;7,01
14.11.2018;7,50;6,50;8,50;8,50;7,25;7,15
13.11.2018;7,50;6,50;8,50;8,50;7,40;7,39
12.11.2018;7,50;6,50;8,50;8,50;7,39;7,43
09.11.2018;7,50;6,50;8,50;8,50;7,33;7,37
08.11.2018;7,50;6,50;8,50;8,50;7,36;7,34
07.11.2018;7,50;6,50;8,50;8,50;7,35;7,35
06.11.2018;7,50;6,50;8,50;8,50;7,49;7,50
02.11.2018;7,50;6,50;8,50;8,50;7,27;7,28
01.11.2018;7,50;6,50;8,50;8,50;6,88;6,86
31.10.2018;7,50;6,50;8,50;8,50;7,11;7,06
30.10.2018;7,50;6,50;8,50;8,50;7,11;7,12
29.10.2018;7,50;6,50;8,50;8,50;7,25;7,20
26.10.2018;7,50;6,50;8,50;8,50;7,25;7,25
25.10.2018;7,50;6,50;8,50;8,50;7,34;7,32
24.10.2018;7,50;6,50;8,50;8,50;7,10;7,05
23.10.2018;7,50;6,50;8,50;8,50;7,15;7,10
22.10.2018;7,50;6,50;8,50;8,50;7,19;7,16
19.10.2018;7,50;6,50;8,50;8,50;7,33;7,36
18.10.2018;7,50;6,50;8,50;8,50;7,36;7,41
17.10.2018;7,50;6,50;8,50;8,50;7,29;7,29
16.10.2018;7,50;6,50;8,50;8,50;7,29;7,27
15.10.2018;7,50;6,50;8,50;8,50;7,34;7,35
12.10.2018;7,50;6,50;8,50;8,50;7,33;7,33
11.10.2018;7,50;6,50;8,50;8,50;7,33;7,32
10.10.2018;7,50;6,50;8,50;8,50;7,21;7,16
09.10.2018;7,50;6,50;8,50;8,50;7,14;7,06
08.10.2018;7,50;6,50;8,50;8,50;7,31;7,36
05.10.2018;7,50;6,50;8,50;8,50;7,51;7,53
04.10.2018;7,50;6,50;8,50;8,50;7,35;7,42
03.10.2018;7,50;6,50;8,50;8,50;7,33;7,36
02.10.2018;7,50;6,50;8,50;8,50;7,27;7,25
01.10.2018;7,50;6,50;8,50;8,50;7,26;7,27
28.09.2018;7,50;6,50;8,50;8,50;7,38;7,40
27.09.2018;7,50;6,50;8,50;8,50;7,24;7,23
26.09.2018;7,50;6,50;8,50;8,50;7,30;7,24
25.09.2018;7,50;6,50;8,50;8,50;7,40;7,47
24.09.2018;7,50;6,50;8,50;8,50;7,19;7,22
21.09.2018;7,50;6,50;8,50;8,50;7,23;7,23
20.09.2018;7,50;6,50;8,50;8,50;7,28;7,29
19.09.2018;7,50;6,50;8,50;8,50;7,11;7,01
18.09.2018;7,50;6,50;8,50;8,50;7,29;7,24
17.09.2018;7,50;6,50;8,50;8,50;7,31;7,24
14.09.2018;7,25;6,25;8,25;8,25;7,01;7,02
13.09.2018;7,25;6,25;8,25;8,25;7,02;7,00
12.09.2018;7,25;6,25;8,25;8,25;6,92;6,81
11.09.2018;7,25;6,25;8,25;8,25;7,04;7,01
10.09.2018;7,25;6,25;8,25;8,25;6,99;6,98
07.09.2018;7,25;6,25;8,25;8,25;6,98;6,97
06.09.2018;7,25;6,25;8,25;8,25;6,94;6,87
05.09.2018;7,25;6,25;8,25;8,25;7,04;7,00
04.09.2018;7,25;6,25;8,25;8,25;7,16;7,17
03.09.2018;7,25;6,25;8,25;8,25;7,15;7,15
31.08.2018;7,25;6,25;8,25;8,25;7,13;7,14
30.08.2018;7,25;6,25;8,25;8,25;7,13;7,14
29.08.2018;7,25;6,25;8,25;8,25;7,18;7,18
28.08.2018;7,25;6,25;8,25;8,25;7,26;7,26
27.08.2018;7,25;6,25;8,25;8,25;7,18;7,22
24.08.2018;7,25;6,25;8,25;8,25;6,95;6,97
23.08.2018;7,25;6,25;8,25;8,25;6,69;6,73
22.08.2018;7,25;6,25;8,25;8,25;6,94;6,96
21.08.2018;7,25;6,25;8,25;8,25;6,93;6,91
20.08.2018;7,25;6,25;8,25;8,25;6,98;6,97
17.08.2018;7,25;6,25;8,25;8,25;6,97;6,95
16.08.2018;7,25;6,25;8,25;8,25;7,08;7,08
15.08.2018;7,25;6,25;8,25;8,25;7,11;7,09
14.08.2018;7,25;6,25;8,25;8,25;7,16;7,18
13.08.2018;7,25;6,25;8,25;8,25;7,14;7,14
10.08.2018;7,25;6,25;8,25;8,25;7,14;7,15
09.08.2018;7,25;6,25;8,25;8,25;7,07;7,10
08.08.2018;7,25;6,25;8,25;8,25;7,02;7,02
07.08.2018;7,25;6,25;8,25;8,25;6,86;6,85
06.08.2018;7,25;6,25;8,25;8,25;6,88;6,86
03.08.2018;7,25;6,25;8,25;8,25;6,80;6,88
02.08.2018;7,25;6,25;8,25;8,25;7,01;6,97
01.08.2018;7,25;6,25;8,25;8,25;7,03;7,04
31.07.2018;7,25;6,25;8,25;8,25;7,76;7,74
30.07.2018;7,25;6,25;8,25;8,25;7,71;7,72
27.07.2018;7,25;6,25;8,25;8,25;7,35;7,71
26.07.2018;7,25;6,25;8,25;8,25;7,14;7,19
25.07.2018;7,25;6,25;8,25;8,25;6,97;7,00
24.07.2018;7,25;6,25;8,25;8,25;6,86;6,80
23.07.2018;7,25;6,25;8,25;8,25;6,89;6,76
20.07.2018;7,25;6,25;8,25;8,25;7,02;7,01
19.07.2018;7,25;6,25;8,25;8,25;7,12;7,09
18.07.2018;7,25;6,25;8,25;8,25;7,10;7,05
17.07.2018;7,25;6,25;8,25;8,25;7,20;7,19
16.07.2018;7,25;6,25;8,25;8,25;7,13;7,14
13.07.2018;7,25;6,25;8,25;8,25;7,14;7,13
12.07.2018;7,25;6,25;8,25;8,25;7,08;7,09
11.07.2018;7,25;6,25;8,25;8,25;7,07;7,06
10.07.2018;7,25;6,25;8,25;8,25;7,06;7,03
09.07.2018;7,25;6,25;8,25;8,25;6,73;6,64
06.07.2018;7,25;6,25;8,25;8,25;6,84;6,73
05.07.2018;7,25;6,25;8,25;8,25;7,00;7,00
04.07.2018;7,25;6,25;8,25;8,25;7,03;7,02
03.07.2018;7,25;6,25;8,25;8,25;6,74;6,72
02.07.2018;7,25;6,25;8,25;8,25;7,03;7,01
29.06.2018;7,25;6,25;8,25;8,25;7,14;7,16
28.06.2018;7,25;6,25;8,25;8,25;7,14;7,13
