<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
comex.GC,D,20160103,000000,1061.5000000,1068.2000000,1061.0000000,1067.9000000,19407
comex.GC,D,20160104,000000,1067.9000000,1083.0000000,1067.1000000,1077.7000000,138041
comex.GC,D,20160105,000000,1077.7000000,1081.5000000,1074.4000000,1078.7000000,99003
comex.GC,D,20160106,000000,1078.7000000,1102.5000000,1078.3000000,1098.6000000,184573
comex.GC,D,20160107,000000,1098.6000000,1113.1000000,1092.2000000,1103.2000000,179696
comex.GC,D,20160108,000000,1103.2000000,1105.5000000,1091.8000000,1104.1000000,138265
comex.GC,D,20160110,000000,1103.6000000,1108.3000000,1102.2000000,1104.8000000,20407
comex.GC,D,20160111,000000,1104.8000000,1107.6000000,1092.5000000,1095.5000000,134482
comex.GC,D,20160112,000000,1095.5000000,1099.1000000,1082.5000000,1084.9000000,134790
comex.GC,D,20160113,000000,1084.9000000,1095.6000000,1079.4000000,1091.5000000,124222
comex.GC,D,20160114,000000,1091.5000000,1093.1000000,1071.1000000,1080.3000000,142936
comex.GC,D,20160115,000000,1080.3000000,1097.5000000,1079.9000000,1088.6000000,136159
comex.GC,D,20160117,000000,1089.3000000,1093.3000000,1089.0000000,1090.1000000,10906
comex.GC,D,20160118,000000,1090.1000000,1092.0000000,1085.2000000,1088.5000000,41439
comex.GC,D,20160119,000000,1088.5000000,1094.5000000,1082.1000000,1091.1000000,100485
comex.GC,D,20160120,000000,1091.2000000,1109.9000000,1091.1000000,1103.5000000,160465
comex.GC,D,20160121,000000,1103.5000000,1104.8000000,1092.5000000,1099.0000000,133025
comex.GC,D,20160122,000000,1098.9000000,1103.5000000,1094.4000000,1098.2000000,83516
comex.GC,D,20160124,000000,1097.8000000,1102.6000000,1097.6000000,1101.1000000,10439
comex.GC,D,20160125,000000,1101.1000000,1114.1000000,1100.0000000,1112.7000000,104917
comex.GC,D,20160126,000000,1112.6000000,1123.2000000,1109.7000000,1120.7000000,123645
comex.GC,D,20160127,000000,1120.7000000,1128.0000000,1114.9000000,1119.8000000,79687
comex.GC,D,20160128,000000,1119.7000000,1122.2000000,1108.8000000,1114.3000000,16435
comex.GC,D,20160129,000000,1114.6000000,1118.6000000,1111.1000000,1118.0000000,3392
comex.GC,D,20160131,000000,1118.0000000,1122.5000000,1115.3000000,1122.3000000,17575
comex.GC,D,20160201,000000,1122.2000000,1131.0000000,1119.1000000,1125.8000000,105323
comex.GC,D,20160202,000000,1125.9000000,1131.5000000,1122.6000000,1128.5000000,101660
comex.GC,D,20160203,000000,1128.6000000,1146.2000000,1124.8000000,1143.5000000,179244
comex.GC,D,20160204,000000,1143.6000000,1157.9000000,1141.1000000,1155.3000000,155780
comex.GC,D,20160205,000000,1155.3000000,1175.0000000,1145.5000000,1174.1000000,186718
comex.GC,D,20160207,000000,1174.0000000,1174.0000000,1164.7000000,1166.2000000,16583
comex.GC,D,20160208,000000,1166.1000000,1201.4000000,1164.5000000,1191.8000000,225384
comex.GC,D,20160209,000000,1191.8000000,1199.3000000,1185.9000000,1191.8000000,167192
comex.GC,D,20160210,000000,1191.5000000,1215.3000000,1181.6000000,1206.7000000,174139
comex.GC,D,20160211,000000,1206.7000000,1263.9000000,1206.2000000,1239.3000000,330441
comex.GC,D,20160212,000000,1239.3000000,1246.6000000,1232.9000000,1238.5000000,143584
comex.GC,D,20160214,000000,1236.3000000,1236.3000000,1215.0000000,1219.8000000,42464
comex.GC,D,20160215,000000,1219.8000000,1220.9000000,1191.5000000,1197.9000000,121766
comex.GC,D,20160216,000000,1197.9000000,1217.6000000,1195.3000000,1206.8000000,169167
comex.GC,D,20160217,000000,1206.8000000,1214.4000000,1200.8000000,1209.9000000,139448
comex.GC,D,20160218,000000,1209.9000000,1240.6000000,1201.3000000,1226.7000000,170439
comex.GC,D,20160219,000000,1226.6000000,1235.3000000,1220.6000000,1226.6000000,143525
comex.GC,D,20160221,000000,1226.9000000,1226.9000000,1215.3000000,1217.0000000,26907
comex.GC,D,20160222,000000,1216.9000000,1223.4000000,1202.5000000,1216.6000000,160500
comex.GC,D,20160223,000000,1216.6000000,1233.4000000,1215.1000000,1228.1000000,159175
comex.GC,D,20160224,000000,1228.1000000,1254.3000000,1221.8000000,1234.5000000,183679
comex.GC,D,20160225,000000,1234.7000000,1244.4000000,1226.2000000,1240.0000000,176556
comex.GC,D,20160226,000000,1240.1000000,1240.2000000,1212.0000000,1222.8000000,183767
comex.GC,D,20160228,000000,1223.1000000,1229.0000000,1216.3000000,1229.0000000,25807
comex.GC,D,20160229,000000,1228.9000000,1249.3000000,1225.7000000,1245.2000000,172554
comex.GC,D,20160301,000000,1245.1000000,1248.8000000,1225.1000000,1227.4000000,187889
comex.GC,D,20160302,000000,1227.6000000,1244.8000000,1226.1000000,1239.8000000,152957
comex.GC,D,20160303,000000,1239.7000000,1269.3000000,1239.2000000,1261.9000000,206521
comex.GC,D,20160304,000000,1261.9000000,1280.7000000,1250.1000000,1260.1000000,294292
comex.GC,D,20160306,000000,1260.5000000,1269.4000000,1257.4000000,1261.4000000,32742
comex.GC,D,20160307,000000,1261.4000000,1274.1000000,1260.2000000,1270.8000000,160382
comex.GC,D,20160308,000000,1270.8000000,1279.0000000,1252.3000000,1256.4000000,180635
comex.GC,D,20160309,000000,1256.4000000,1261.2000000,1243.6000000,1248.4000000,172538
comex.GC,D,20160310,000000,1248.4000000,1287.8000000,1237.5000000,1275.8000000,291422
comex.GC,D,20160311,000000,1275.7000000,1276.3000000,1249.0000000,1251.1000000,151260
comex.GC,D,20160313,000000,1250.9000000,1257.5000000,1248.7000000,1255.6000000,20888
comex.GC,D,20160314,000000,1255.7000000,1261.9000000,1226.0000000,1230.2000000,183793
comex.GC,D,20160315,000000,1230.1000000,1238.7000000,1227.7000000,1232.9000000,131195
comex.GC,D,20160316,000000,1232.9000000,1264.8000000,1227.0000000,1257.3000000,191677
comex.GC,D,20160317,000000,1257.2000000,1271.9000000,1256.4000000,1263.7000000,181290
comex.GC,D,20160318,000000,1263.6000000,1266.4000000,1248.4000000,1256.0000000,110358
comex.GC,D,20160320,000000,1255.2000000,1256.7000000,1251.5000000,1252.1000000,16238
comex.GC,D,20160321,000000,1252.1000000,1253.0000000,1241.2000000,1244.7000000,107243
comex.GC,D,20160322,000000,1244.8000000,1260.9000000,1232.1000000,1235.1000000,151814
comex.GC,D,20160323,000000,1235.0000000,1237.2000000,1215.4000000,1220.1000000,165567
comex.GC,D,20160324,000000,1219.0000000,1224.2000000,1211.2000000,1216.7000000,91541
comex.GC,D,20160327,000000,1216.0000000,1216.1000000,1206.0000000,1213.4000000,19286
comex.GC,D,20160328,000000,1213.3000000,1223.2000000,1212.7000000,1219.0000000,66132
comex.GC,D,20160329,000000,1218.9000000,1243.4000000,1215.3000000,1236.3000000,86851
comex.GC,D,20160330,000000,1236.2000000,1245.0000000,1223.4000000,1229.9000000,13880
comex.GC,D,20160331,000000,1229.7000000,1239.6000000,1226.7000000,1232.7000000,16920
comex.GC,D,20160401,000000,1232.8000000,1237.2000000,1210.3000000,1223.6000000,164022
comex.GC,D,20160403,000000,1223.0000000,1224.0000000,1217.6000000,1219.0000000,14592
comex.GC,D,20160404,000000,1219.1000000,1228.4000000,1215.7000000,1227.0000000,95563
comex.GC,D,20160405,000000,1227.0000000,1238.8000000,1225.7000000,1230.9000000,135059
comex.GC,D,20160406,000000,1230.8000000,1231.5000000,1217.2000000,1231.0000000,137139
comex.GC,D,20160407,000000,1231.0000000,1245.0000000,1227.2000000,1237.5000000,167887
comex.GC,D,20160408,000000,1237.5000000,1244.6000000,1231.0000000,1240.1000000,108809
comex.GC,D,20160410,000000,1241.8000000,1254.6000000,1241.6000000,1252.9000000,28940
comex.GC,D,20160411,000000,1252.9000000,1261.9000000,1247.9000000,1255.7000000,133885
comex.GC,D,20160412,000000,1255.6000000,1264.7000000,1253.0000000,1253.9000000,136370
comex.GC,D,20160413,000000,1253.9000000,1254.2000000,1230.7000000,1234.7000000,165090
comex.GC,D,20160414,000000,1234.7000000,1245.9000000,1225.4000000,1230.1000000,181066
comex.GC,D,20160415,000000,1230.1000000,1237.6000000,1227.8000000,1235.8000000,96742
comex.GC,D,20160417,000000,1236.3000000,1241.3000000,1235.1000000,1236.8000000,22933
comex.GC,D,20160418,000000,1236.9000000,1243.3000000,1229.0000000,1234.8000000,141227
comex.GC,D,20160419,000000,1234.7000000,1259.8000000,1233.3000000,1252.5000000,200895
comex.GC,D,20160420,000000,1252.4000000,1258.1000000,1244.0000000,1249.3000000,140323
comex.GC,D,20160421,000000,1249.3000000,1272.4000000,1245.4000000,1248.9000000,259451
comex.GC,D,20160422,000000,1248.9000000,1252.4000000,1228.5000000,1233.7000000,170334
comex.GC,D,20160424,000000,1234.5000000,1235.9000000,1231.3000000,1235.1000000,14746
comex.GC,D,20160425,000000,1235.1000000,1243.8000000,1232.1000000,1238.0000000,110067
comex.GC,D,20160426,000000,1237.9000000,1248.4000000,1232.7000000,1245.6000000,134793
