<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20160104,000000,135.8900000,136.6500000,134.4200000,134.9100000,12395710
GAZP,D,20160105,000000,134.8500000,137.2800000,134.6100000,136.4500000,14255210
GAZP,D,20160106,000000,136.3500000,136.9300000,135.3000000,135.9400000,10389120
GAZP,D,20160111,000000,132.9700000,133.6500000,131.1000000,131.3800000,33815800
GAZP,D,20160112,000000,130.5000000,135.2500000,130.1000000,133.5400000,39615850
GAZP,D,20160113,000000,134.1700000,134.4800000,131.2000000,131.3000000,30791480
GAZP,D,20160114,000000,130.9700000,131.4900000,129.0100000,130.8600000,43894870
GAZP,D,20160115,000000,130.3100000,132.4300000,125.0500000,125.1000000,62083070
GAZP,D,20160118,000000,124.8100000,126.3000000,122.7500000,124.6000000,35851240
GAZP,D,20160119,000000,125.5100000,128.4000000,125.3000000,125.9800000,36425490
GAZP,D,20160120,000000,123.6000000,125.8300000,122.8000000,125.8300000,35168480
GAZP,D,20160121,000000,126.0100000,128.0900000,125.5500000,127.7500000,34199110
GAZP,D,20160122,000000,129.9900000,132.9800000,128.3400000,132.4000000,57240280
GAZP,D,20160125,000000,133.1400000,133.1900000,130.6800000,133.0000000,30400140
GAZP,D,20160126,000000,131.0000000,132.4500000,130.3400000,131.8900000,25974890
GAZP,D,20160127,000000,132.1900000,134.0000000,131.8500000,134.0000000,28637690
GAZP,D,20160128,000000,133.8900000,136.5000000,133.1500000,136.5000000,40268690
GAZP,D,20160129,000000,137.0000000,137.2000000,133.3300000,136.6000000,41476630
GAZP,D,20160201,000000,136.1700000,136.3400000,132.8200000,133.9000000,31916470
GAZP,D,20160202,000000,133.0900000,135.2800000,132.0900000,132.5000000,36220630
GAZP,D,20160203,000000,131.8800000,133.0000000,130.9100000,131.0100000,30488970
GAZP,D,20160204,000000,133.1600000,135.2500000,132.6200000,135.0700000,38229060
GAZP,D,20160205,000000,134.5200000,136.2000000,133.9100000,134.4300000,24293650
GAZP,D,20160208,000000,134.2900000,134.9700000,132.1500000,133.5000000,30562690
GAZP,D,20160209,000000,132.9800000,135.1900000,132.4500000,132.7000000,30961170
GAZP,D,20160210,000000,132.0700000,133.9200000,131.8000000,133.0300000,26600660
GAZP,D,20160211,000000,132.8300000,133.0800000,129.3100000,130.4900000,44059990
GAZP,D,20160212,000000,131.1400000,132.2300000,130.7100000,131.3000000,26884600
GAZP,D,20160215,000000,132.0200000,133.9000000,132.0200000,133.4300000,24354840
GAZP,D,20160216,000000,134.4500000,136.4500000,133.9500000,135.8500000,49248010
GAZP,D,20160217,000000,135.5000000,137.2000000,135.0500000,137.1000000,31325940
GAZP,D,20160218,000000,137.3800000,138.9000000,137.1100000,138.0000000,31929010
GAZP,D,20160219,000000,137.2800000,137.2800000,135.6200000,136.9000000,25460140
GAZP,D,20160220,000000,136.6200000,137.5500000,136.3100000,136.5900000,6018070
GAZP,D,20160222,000000,136.9200000,139.9500000,136.6200000,139.9000000,19289520
GAZP,D,20160224,000000,138.5800000,138.7500000,136.2500000,137.1500000,27638380
GAZP,D,20160225,000000,137.6200000,139.4600000,135.5500000,137.9700000,35290550
GAZP,D,20160226,000000,138.8300000,139.9800000,138.0000000,138.6700000,32713610
GAZP,D,20160229,000000,137.8900000,141.5200000,137.5000000,141.4000000,37826420
GAZP,D,20160301,000000,141.5100000,142.7500000,140.8500000,142.0000000,30217660
GAZP,D,20160302,000000,142.6000000,143.0700000,139.7500000,140.1400000,27380390
GAZP,D,20160303,000000,140.6300000,144.5000000,140.5000000,144.5000000,48734140
GAZP,D,20160304,000000,144.6100000,146.1600000,143.7600000,146.1600000,33471370
GAZP,D,20160307,000000,146.8700000,150.1500000,146.6400000,150.1500000,27999690
GAZP,D,20160309,000000,149.0200000,149.9300000,146.0700000,147.4300000,47037430
GAZP,D,20160310,000000,147.9300000,148.5600000,146.1600000,146.9400000,31351550
GAZP,D,20160311,000000,147.0100000,147.2000000,143.6000000,144.3000000,36028800
GAZP,D,20160314,000000,144.4700000,144.7100000,141.9100000,143.2000000,28135560
GAZP,D,20160315,000000,143.4000000,144.4500000,142.0600000,142.5400000,46920120
GAZP,D,20160316,000000,143.0300000,144.7500000,142.7200000,144.7500000,23948110
GAZP,D,20160317,000000,145.6100000,147.4000000,145.0800000,147.2700000,47081320
GAZP,D,20160318,000000,147.2600000,150.7400000,146.5600000,150.6500000,52456260
GAZP,D,20160321,000000,149.5900000,149.9200000,147.7500000,149.9000000,40897430
GAZP,D,20160322,000000,149.9800000,150.6400000,147.8000000,149.5500000,33834910
GAZP,D,20160323,000000,149.1900000,149.5300000,145.0700000,146.0000000,32426570
GAZP,D,20160324,000000,145.2000000,145.9500000,144.4900000,145.8000000,24544540
GAZP,D,20160325,000000,146.2700000,146.8900000,145.8200000,146.0400000,7601070
GAZP,D,20160328,000000,146.5400000,147.5000000,144.6000000,145.1000000,13115750
GAZP,D,20160329,000000,144.7800000,145.1600000,142.8600000,144.7000000,24645590
GAZP,D,20160330,000000,145.2200000,149.0900000,144.5200000,147.8000000,34338150
GAZP,D,20160331,000000,147.5000000,148.1700000,146.0500000,147.7500000,34995930
GAZP,D,20160401,000000,147.0200000,147.5000000,143.9300000,147.2000000,36477020
GAZP,D,20160404,000000,147.1000000,147.5000000,145.3500000,146.3800000,28749230
GAZP,D,20160405,000000,145.3500000,145.3500000,143.5700000,144.3400000,23195340
GAZP,D,20160406,000000,144.8700000,145.5000000,144.0300000,144.2000000,24061380
GAZP,D,20160407,000000,144.9500000,145.5000000,143.0500000,143.8900000,21751740
GAZP,D,20160408,000000,144.2200000,146.0000000,144.1000000,145.7000000,23586850
GAZP,D,20160411,000000,145.7000000,147.5000000,145.1000000,147.3000000,32124260
GAZP,D,20160412,000000,147.3300000,149.3500000,146.0400000,148.9000000,37591280
GAZP,D,20160413,000000,149.1000000,154.7500000,148.8800000,153.1200000,59195220
GAZP,D,20160414,000000,153.3800000,154.9000000,149.1600000,150.4300000,50061290
GAZP,D,20160415,000000,150.6900000,150.7100000,147.0200000,147.9900000,29363710
GAZP,D,20160418,000000,145.9900000,146.7700000,143.2800000,146.3000000,41759810
GAZP,D,20160419,000000,146.4500000,156.1400000,146.2000000,155.9500000,105746850
GAZP,D,20160420,000000,155.8800000,162.3000000,155.8200000,161.9500000,97272780
GAZP,D,20160421,000000,164.7000000,164.7600000,157.6100000,161.8000000,64442400
GAZP,D,20160422,000000,162.1400000,162.4500000,158.2500000,161.2000000,35774040
GAZP,D,20160425,000000,160.7100000,161.7500000,158.6100000,160.3000000,32028370
GAZP,D,20160426,000000,159.8200000,163.3200000,159.3100000,163.0000000,34846010
GAZP,D,20160427,000000,163.8800000,164.8000000,159.3000000,160.9900000,39121710
GAZP,D,20160428,000000,161.0500000,164.7500000,158.9000000,164.7500000,52005470
GAZP,D,20160429,000000,164.6000000,169.4700000,163.4200000,168.4700000,71079480
GAZP,D,20160504,000000,166.3700000,170.4300000,158.2500000,162.4000000,68546850
GAZP,D,20160505,000000,161.3300000,163.2400000,160.0700000,160.5000000,30050240
GAZP,D,20160506,000000,160.7000000,160.9000000,158.5500000,159.2700000,26263080
GAZP,D,20160510,000000,158.7300000,161.1500000,156.1500000,156.8500000,28780460
GAZP,D,20160511,000000,157.2900000,160.4900000,156.7000000,159.4500000,29578200
GAZP,D,20160512,000000,160.9500000,162.3400000,159.0300000,159.0300000,26322950
GAZP,D,20160513,000000,159.4000000,160.1800000,157.3200000,159.8500000,20339630
GAZP,D,20160516,000000,159.9800000,162.5400000,157.5000000,158.0700000,32845890
GAZP,D,20160517,000000,155.3900000,156.0000000,150.6000000,153.5800000,64504180
GAZP,D,20160518,000000,153.3800000,153.5000000,151.8000000,152.1000000,23065550
GAZP,D,20160519,000000,151.4000000,155.5500000,148.3300000,148.3300000,67984240
GAZP,D,20160520,000000,149.3300000,149.5600000,145.6400000,146.7000000,40171840
GAZP,D,20160523,000000,146.2200000,146.4700000,143.8300000,144.3100000,27093460
GAZP,D,20160524,000000,144.8000000,146.8000000,144.4600000,146.3500000,23788460
GAZP,D,20160525,000000,146.9200000,148.3700000,146.3400000,146.5500000,31203360
GAZP,D,20160526,000000,147.2900000,149.8800000,146.6300000,148.8700000,34509170
GAZP,D,20160527,000000,148.8000000,149.8800000,147.5800000,149.8800000,30190330
GAZP,D,20160530,000000,149.9700000,150.1500000,147.7600000,149.6000000,14846590
GAZP,D,20160531,000000,149.7400000,150.2900000,145.5000000,145.5000000,41555100
GAZP,D,20160601,000000,145.9000000,146.7100000,143.6300000,144.7000000,28970510
GAZP,D,20160602,000000,144.8600000,145.6400000,142.8500000,144.0000000,23752620
GAZP,D,20160603,000000,144.3800000,145.4300000,142.7000000,143.4100000,33540340
GAZP,D,20160606,000000,144.3200000,147.0000000,144.2300000,146.4000000,21129730
GAZP,D,20160607,000000,146.4400000,148.9000000,146.0000000,147.7500000,25121740
GAZP,D,20160608,000000,148.0400000,149.1400000,145.4300000,146.9500000,29347800
GAZP,D,20160609,000000,147.0000000,147.0000000,144.2500000,144.9800000,18916640
GAZP,D,20160610,000000,144.7000000,144.7500000,142.4400000,142.4400000,22260060
GAZP,D,20160614,000000,142.3300000,143.1300000,140.3800000,141.8400000,24059790
GAZP,D,20160615,000000,141.9000000,142.6000000,140.1900000,141.5700000,31099710
GAZP,D,20160616,000000,141.0000000,141.5500000,138.4000000,139.5000000,30689040
GAZP,D,20160617,000000,140.2800000,142.2500000,139.3200000,139.3200000,32458200
GAZP,D,20160620,000000,141.1400000,143.6400000,141.0700000,142.9700000,20501210
GAZP,D,20160621,000000,142.9800000,143.8500000,141.2000000,143.5400000,22015820
GAZP,D,20160622,000000,143.7000000,144.2000000,142.6900000,143.0000000,19369860
GAZP,D,20160623,000000,142.9800000,144.2000000,141.3400000,144.2000000,19909870
GAZP,D,20160624,000000,139.7700000,141.2900000,136.8700000,141.2500000,46576010
GAZP,D,20160627,000000,141.0300000,141.7400000,138.5200000,138.5200000,23912340
GAZP,D,20160628,000000,139.2000000,140.1200000,138.5500000,139.2400000,22642450
GAZP,D,20160629,000000,139.6100000,140.8300000,139.2000000,140.0000000,17100220
GAZP,D,20160630,000000,140.0700000,141.8900000,139.4300000,139.5100000,24643720
GAZP,D,20160701,000000,139.8500000,140.7900000,138.9200000,140.0500000,15582390
