<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.IMOEX,D,20160104,000000,1762.2000000,1762.2700000,1731.6200000,1734.5600000,15184059638
RI.IMOEX,D,20160105,000000,1733.6700000,1754.3300000,1731.8600000,1754.1300000,18096848155
RI.IMOEX,D,20160106,000000,1753.9600000,1758.7600000,1738.8400000,1748.5700000,15863769598
RI.IMOEX,D,20160111,000000,1712.7900000,1713.1700000,1681.6500000,1682.5400000,31299887238
RI.IMOEX,D,20160112,000000,1671.3000000,1705.1300000,1660.1700000,1690.3000000,32959612040
RI.IMOEX,D,20160113,000000,1696.5300000,1708.9700000,1682.3900000,1684.7800000,27040723765
RI.IMOEX,D,20160114,000000,1678.5000000,1685.6200000,1658.8400000,1680.7700000,31609765726
RI.IMOEX,D,20160115,000000,1676.9800000,1686.8500000,1597.8700000,1608.3600000,50283185458
RI.IMOEX,D,20160118,000000,1601.5300000,1631.4200000,1583.0400000,1622.4300000,32366912468
RI.IMOEX,D,20160119,000000,1635.3600000,1674.9800000,1635.2100000,1645.5600000,37157904981
RI.IMOEX,D,20160120,000000,1630.1600000,1632.8200000,1601.7300000,1630.3900000,39821132337
RI.IMOEX,D,20160121,000000,1634.2700000,1684.0300000,1634.2700000,1677.1900000,43326301552
RI.IMOEX,D,20160122,000000,1699.2600000,1730.1400000,1682.9200000,1717.9800000,60488647098
RI.IMOEX,D,20160125,000000,1725.9100000,1725.9100000,1700.3600000,1716.5600000,34894234976
RI.IMOEX,D,20160126,000000,1696.5400000,1719.0900000,1695.9100000,1705.0100000,34002423384
RI.IMOEX,D,20160127,000000,1709.5300000,1747.5700000,1708.2100000,1747.5700000,37416392162
RI.IMOEX,D,20160128,000000,1746.2300000,1771.9300000,1739.8500000,1771.9300000,49890474263
RI.IMOEX,D,20160129,000000,1775.8900000,1788.0800000,1758.6000000,1784.9200000,51457275614
RI.IMOEX,D,20160201,000000,1782.5500000,1784.9600000,1760.2600000,1773.2100000,31043356045
RI.IMOEX,D,20160202,000000,1766.4600000,1785.7500000,1749.9000000,1758.2600000,38671518377
RI.IMOEX,D,20160203,000000,1748.6900000,1766.2700000,1744.8100000,1746.3500000,31399278725
RI.IMOEX,D,20160204,000000,1776.2200000,1792.4800000,1770.7200000,1787.9300000,44900362749
RI.IMOEX,D,20160205,000000,1783.0700000,1796.4800000,1772.2700000,1780.5900000,28320335549
RI.IMOEX,D,20160208,000000,1779.6200000,1784.5600000,1737.0600000,1744.2700000,33814129704
RI.IMOEX,D,20160209,000000,1737.7100000,1752.8900000,1715.0300000,1723.3600000,37373681578
RI.IMOEX,D,20160210,000000,1715.9000000,1740.7100000,1710.3400000,1730.8300000,32150971589
RI.IMOEX,D,20160211,000000,1726.7100000,1726.7100000,1688.1300000,1711.5800000,39462082110
RI.IMOEX,D,20160212,000000,1721.8100000,1733.6600000,1716.3400000,1726.0400000,29057999447
RI.IMOEX,D,20160215,000000,1733.2900000,1746.3600000,1726.2000000,1738.5400000,24247759999
RI.IMOEX,D,20160216,000000,1746.2200000,1758.1700000,1741.9900000,1753.8600000,34532761465
RI.IMOEX,D,20160217,000000,1753.4200000,1776.8300000,1750.0600000,1770.3100000,34413040963
RI.IMOEX,D,20160218,000000,1775.2100000,1807.3200000,1775.2100000,1807.2100000,41792675530
RI.IMOEX,D,20160219,000000,1796.4300000,1796.4300000,1778.9600000,1793.3700000,39618767600
RI.IMOEX,D,20160220,000000,1793.4800000,1798.7100000,1786.9400000,1790.1500000,5664688455
RI.IMOEX,D,20160222,000000,1794.5400000,1825.0000000,1793.0300000,1822.3800000,20518229824
RI.IMOEX,D,20160223,000000,1822.3800000,1822.3800000,1822.3800000,1822.3800000,2147483647
RI.IMOEX,D,20160224,000000,1802.9000000,1812.9400000,1784.5400000,1797.2700000,31529049244
RI.IMOEX,D,20160225,000000,1803.0400000,1819.1900000,1777.7000000,1797.2700000,36117737702
RI.IMOEX,D,20160226,000000,1815.9900000,1831.7000000,1811.6600000,1816.7300000,42036927929
RI.IMOEX,D,20160229,000000,1811.5300000,1841.5600000,1798.5100000,1840.1700000,37246813480
RI.IMOEX,D,20160301,000000,1841.4300000,1851.8800000,1838.4100000,1844.1700000,33324018991
RI.IMOEX,D,20160302,000000,1853.3200000,1856.0800000,1826.4100000,1832.8400000,0
RI.IMOEX,D,20160303,000000,1836.0700000,1863.9500000,1836.0700000,1858.6900000,0
RI.IMOEX,D,20160304,000000,1863.1500000,1878.2900000,1853.8100000,1878.2900000,0
RI.IMOEX,D,20160307,000000,1883.3800000,1909.5700000,1883.3800000,1909.5700000,0
