<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.NG,D,20160103,000000,2.3660000,2.3690000,2.3160000,2.3210000,3290
NYMEX.NG,D,20160104,000000,2.3230000,2.3750000,2.2390000,2.2970000,105353
NYMEX.NG,D,20160105,000000,2.2960000,2.3480000,2.2550000,2.3330000,97564
NYMEX.NG,D,20160106,000000,2.3340000,2.3600000,2.2410000,2.2990000,108864
NYMEX.NG,D,20160107,000000,2.2960000,2.4290000,2.2790000,2.3950000,169068
NYMEX.NG,D,20160108,000000,2.3940000,2.4950000,2.3770000,2.4770000,100308
NYMEX.NG,D,20160110,000000,2.4460000,2.4800000,2.4340000,2.4690000,4217
NYMEX.NG,D,20160111,000000,2.4690000,2.4720000,2.3210000,2.3220000,93797
NYMEX.NG,D,20160112,000000,2.3270000,2.3630000,2.2410000,2.2810000,104636
NYMEX.NG,D,20160113,000000,2.2820000,2.3230000,2.2560000,2.2730000,87946
NYMEX.NG,D,20160114,000000,2.2730000,2.2940000,2.1260000,2.1450000,109886
NYMEX.NG,D,20160115,000000,2.1450000,2.1490000,2.0860000,2.0920000,67839
NYMEX.NG,D,20160117,000000,2.0550000,2.0630000,2.0450000,2.0540000,2538
NYMEX.NG,D,20160118,000000,2.0540000,2.1340000,2.0440000,2.1090000,15608
NYMEX.NG,D,20160119,000000,2.1110000,2.1700000,2.0700000,2.0850000,76532
NYMEX.NG,D,20160120,000000,2.0860000,2.1660000,2.0670000,2.1570000,72385
NYMEX.NG,D,20160121,000000,2.1570000,2.1890000,2.0800000,2.1580000,109638
NYMEX.NG,D,20160122,000000,2.1570000,2.1670000,2.1120000,2.1300000,58052
NYMEX.NG,D,20160124,000000,2.1560000,2.1630000,2.1160000,2.1360000,1380
NYMEX.NG,D,20160125,000000,2.1370000,2.1750000,2.0810000,2.1480000,40605
NYMEX.NG,D,20160126,000000,2.1490000,2.2190000,2.1280000,2.1830000,23947
NYMEX.NG,D,20160127,000000,2.1880000,2.2410000,2.1250000,2.1350000,7960
NYMEX.NG,D,20160128,000000,2.1370000,2.2730000,2.0880000,2.2730000,144836
NYMEX.NG,D,20160129,000000,2.2700000,2.3150000,2.2450000,2.3050000,129237
NYMEX.NG,D,20160131,000000,2.2130000,2.2280000,2.1900000,2.2180000,6686
NYMEX.NG,D,20160201,000000,2.2160000,2.2180000,2.1200000,2.1310000,121101
NYMEX.NG,D,20160202,000000,2.1330000,2.1360000,1.9760000,2.0480000,170775
NYMEX.NG,D,20160203,000000,2.0480000,2.0650000,1.9920000,2.0110000,92749
NYMEX.NG,D,20160204,000000,2.0110000,2.0440000,1.9540000,2.0350000,111310
NYMEX.NG,D,20160205,000000,2.0350000,2.0760000,2.0200000,2.0630000,89555
NYMEX.NG,D,20160207,000000,2.1060000,2.1300000,2.1050000,2.1180000,3784
NYMEX.NG,D,20160208,000000,2.1160000,2.1720000,2.1060000,2.1100000,107199
NYMEX.NG,D,20160209,000000,2.1100000,2.1340000,2.0650000,2.1020000,73531
NYMEX.NG,D,20160210,000000,2.1030000,2.1060000,2.0170000,2.0720000,75051
NYMEX.NG,D,20160211,000000,2.0690000,2.0930000,1.9800000,2.0160000,85314
NYMEX.NG,D,20160212,000000,2.0150000,2.0220000,1.9510000,1.9700000,57061
NYMEX.NG,D,20160214,000000,1.9520000,1.9590000,1.9260000,1.9580000,2452
NYMEX.NG,D,20160215,000000,1.9600000,1.9620000,1.9090000,1.9290000,10705
NYMEX.NG,D,20160216,000000,1.9260000,1.9390000,1.8790000,1.9170000,68676
NYMEX.NG,D,20160217,000000,1.9220000,1.9600000,1.8930000,1.9420000,63904
NYMEX.NG,D,20160218,000000,1.9400000,1.9540000,1.8490000,1.8560000,95657
NYMEX.NG,D,20160219,000000,1.8550000,1.8700000,1.7940000,1.8070000,62329
NYMEX.NG,D,20160221,000000,1.7840000,1.7930000,1.7790000,1.7900000,1667
NYMEX.NG,D,20160222,000000,1.7890000,1.8440000,1.7670000,1.8300000,47357
