<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20160104,000000,755.1600000,761.6800000,741.6700000,749.2800000,2352236057
RI.RTSI,D,20160105,000000,746.3800000,753.9700000,743.5800000,752.7000000,2390236694
RI.RTSI,D,20160106,000000,752.6300000,754.0400000,735.6200000,736.8200000,2357726899
RI.RTSI,D,20160111,000000,721.1200000,721.7500000,699.1300000,699.1300000,2556967863
RI.RTSI,D,20160112,000000,690.1500000,706.3100000,681.2800000,695.3200000,2573087976
RI.RTSI,D,20160113,000000,694.9100000,708.3300000,692.0000000,693.6500000,2499001177
RI.RTSI,D,20160114,000000,690.2000000,694.9400000,681.5700000,692.9900000,2557001900
RI.RTSI,D,20160115,000000,693.8500000,694.7200000,647.8600000,652.9800000,2789288675
RI.RTSI,D,20160118,000000,649.1700000,655.0600000,632.1900000,646.9000000,2554470266
RI.RTSI,D,20160119,000000,651.0200000,674.3800000,651.0200000,660.2900000,2614400779
RI.RTSI,D,20160120,000000,653.7900000,653.7900000,625.9900000,628.4100000,2639162883
RI.RTSI,D,20160121,000000,632.0100000,635.4300000,607.1400000,632.1200000,2658490286
RI.RTSI,D,20160122,000000,647.5100000,696.3000000,647.5100000,691.4000000,2903475007
RI.RTSI,D,20160125,000000,696.1400000,704.2900000,672.4900000,681.5700000,2585558046
RI.RTSI,D,20160126,000000,667.7300000,685.7200000,655.5700000,683.0500000,2568580000
RI.RTSI,D,20160127,000000,686.9800000,705.2900000,679.5500000,704.8700000,2618991992
RI.RTSI,D,20160128,000000,707.1000000,737.5800000,704.7800000,727.1300000,2791003971
RI.RTSI,D,20160129,000000,732.4700000,749.4400000,727.9000000,745.3000000,2806244473
RI.RTSI,D,20160201,000000,743.6500000,743.6500000,723.8300000,730.3900000,2549151160
RI.RTSI,D,20160202,000000,721.9600000,723.0700000,694.9300000,701.2100000,2633505982
RI.RTSI,D,20160203,000000,692.9200000,713.6700000,690.1900000,696.9600000,2542194118
RI.RTSI,D,20160204,000000,723.1600000,745.6800000,723.1600000,738.8200000,2731984584
RI.RTSI,D,20160205,000000,730.1500000,737.8100000,720.0000000,725.9100000,2512362571
RI.RTSI,D,20160208,000000,724.2600000,734.8000000,700.7600000,704.0300000,2584315094
RI.RTSI,D,20160209,000000,697.4800000,705.3300000,684.3900000,690.3700000,2621581973
RI.RTSI,D,20160210,000000,679.4000000,705.2000000,676.7900000,696.6100000,2551221266
RI.RTSI,D,20160211,000000,692.5500000,692.5500000,663.6100000,671.3400000,2639927211
RI.RTSI,D,20160212,000000,678.2700000,692.3900000,678.2700000,689.9000000,2511555192
RI.RTSI,D,20160215,000000,699.5500000,713.5300000,698.0300000,707.2400000,2457196572
RI.RTSI,D,20160216,000000,714.3800000,727.3800000,706.3100000,708.6100000,2591485491
RI.RTSI,D,20160217,000000,709.1100000,739.5200000,705.9700000,735.8100000,2591700424
RI.RTSI,D,20160218,000000,745.8300000,756.3600000,739.6300000,752.8900000,2695605260
RI.RTSI,D,20160219,000000,740.3300000,742.9900000,721.6000000,725.9800000,2657446694
RI.RTSI,D,20160220,000000,729.0400000,739.5800000,729.0400000,732.9500000,2220819426
RI.RTSI,D,20160222,000000,733.6900000,762.5800000,733.6900000,761.4800000,2674574197
RI.RTSI,D,20160223,000000,761.5700000,761.5700000,761.5700000,761.5700000,0
RI.RTSI,D,20160224,000000,741.5600000,747.5200000,725.4000000,737.7300000,9086419795153
RI.RTSI,D,20160225,000000,750.0600000,755.5500000,732.4000000,737.7300000,8966226839067
RI.RTSI,D,20160226,000000,759.1400000,772.0800000,755.0900000,757.4500000,10175348533326
RI.RTSI,D,20160229,000000,747.9900000,768.8000000,746.1900000,768.8000000,6866003615003
RI.RTSI,D,20160301,000000,771.3200000,790.5500000,770.8700000,786.3600000,8888894093240
RI.RTSI,D,20160302,000000,784.4800000,786.5700000,777.1100000,780.1600000,1666504297916
RI.RTSI,D,20160303,000000,792.6000000,800.2900000,783.5800000,798.5800000,12438710122598
RI.RTSI,D,20160304,000000,801.1800000,818.2500000,796.2600000,818.2500000,12309832546717
RI.RTSI,D,20160307,000000,824.9300000,840.1000000,822.3500000,839.2300000,13782956576969
RI.RTSI,D,20160309,000000,836.8800000,840.0400000,815.1100000,835.6400000,13563982207733
RI.RTSI,D,20160310,000000,835.9200000,850.1500000,828.5300000,834.2400000,14573334487020
RI.RTSI,D,20160311,000000,832.1300000,854.0600000,831.7000000,845.5900000,16450189509107
RI.RTSI,D,20160314,000000,847.1800000,847.1800000,826.3200000,830.5400000,14143751247499
RI.RTSI,D,20160315,000000,844.6400000,845.1200000,818.9500000,821.6400000,12726746871815
RI.RTSI,D,20160316,000000,824.8300000,835.9700000,821.1900000,835.9700000,11360608341757
RI.RTSI,D,20160317,000000,857.5100000,876.3300000,857.4200000,873.8000000,15166248104407
RI.RTSI,D,20160318,000000,876.1700000,894.7600000,866.8800000,885.1300000,9252248643342
RI.RTSI,D,20160321,000000,876.4600000,887.0900000,866.4700000,883.6000000,11901985682557
RI.RTSI,D,20160322,000000,891.1500000,891.1800000,874.2200000,889.0200000,12992948011679
RI.RTSI,D,20160323,000000,885.1700000,889.4500000,863.8300000,865.4000000,13194684219070
RI.RTSI,D,20160324,000000,857.6700000,859.4100000,841.5200000,847.2600000,13971986131492
RI.RTSI,D,20160325,000000,860.5900000,868.8800000,859.1800000,862.2200000,26701965603793
RI.RTSI,D,20160328,000000,861.7000000,873.0100000,848.2500000,851.6700000,22127935026807
RI.RTSI,D,20160329,000000,850.3200000,850.8500000,835.7500000,843.4200000,14152372672240
RI.RTSI,D,20160330,000000,858.1600000,876.7700000,857.4600000,869.8600000,17377940036463
RI.RTSI,D,20160331,000000,860.3600000,882.7500000,858.6200000,876.2000000,13675853477126
RI.RTSI,D,20160401,000000,873.6000000,873.7700000,847.0400000,861.9600000,16506173316995
RI.RTSI,D,20160404,000000,866.8100000,868.8900000,847.6000000,861.7600000,17639913946699
RI.RTSI,D,20160405,000000,850.4700000,854.1000000,839.6200000,846.6100000,18524643279039
RI.RTSI,D,20160406,000000,856.4000000,865.5000000,848.0700000,863.2900000,15131620499353
RI.RTSI,D,20160407,000000,872.3100000,872.5600000,852.9800000,859.2400000,15389320837479
RI.RTSI,D,20160408,000000,862.2900000,882.8200000,860.7800000,879.0700000,14135277667384
RI.RTSI,D,20160411,000000,880.0800000,903.0400000,875.9400000,900.9800000,16605038656316
RI.RTSI,D,20160412,000000,898.5000000,913.5500000,897.3400000,911.0700000,11833303312362
