<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBEUR,D,20160101,000000,0.0126100,0.0127620,0.0124880,0.0125650,145
RUBEUR,D,20160103,000000,0.0128590,0.0128590,0.0124900,0.0126170,24
RUBEUR,D,20160104,000000,0.0126170,0.0127100,0.0123160,0.0125810,259
RUBEUR,D,20160105,000000,0.0125790,0.0128510,0.0125550,0.0126280,309
RUBEUR,D,20160106,000000,0.0126310,0.0127460,0.0123460,0.0123600,300
RUBEUR,D,20160107,000000,0.0123530,0.0124260,0.0121160,0.0121950,310
RUBEUR,D,20160108,000000,0.0121910,0.0124460,0.0121470,0.0122070,297
RUBEUR,D,20160109,000000,0.0122040,0.0122910,0.0121730,0.0121990,21
RUBEUR,D,20160110,000000,0.0121110,0.0121120,0.0118900,0.0120670,25
RUBEUR,D,20160111,000000,0.0118920,0.0122310,0.0118510,0.0120300,307
RUBEUR,D,20160112,000000,0.0120210,0.0122270,0.0118710,0.0119280,302
RUBEUR,D,20160113,000000,0.0119310,0.0121400,0.0119050,0.0119240,311
RUBEUR,D,20160114,000000,0.0119170,0.0120560,0.0118120,0.0120560,298
RUBEUR,D,20160115,000000,0.0120040,0.0120420,0.0116440,0.0119440,311
RUBEUR,D,20160116,000000,0.0117510,0.0117640,0.0117200,0.0117200,19
RUBEUR,D,20160118,000000,0.0117090,0.0117740,0.0115080,0.0115190,277
RUBEUR,D,20160119,000000,0.0115200,0.0117340,0.0114850,0.0115970,306
RUBEUR,D,20160120,000000,0.0116110,0.0116130,0.0110460,0.0112430,306
RUBEUR,D,20160121,000000,0.0112400,0.0112890,0.0106700,0.0110540,310
RUBEUR,D,20160122,000000,0.0110630,0.0118260,0.0110160,0.0118260,315
RUBEUR,D,20160123,000000,0.0118160,0.0118200,0.0117600,0.0118110,18
RUBEUR,D,20160124,000000,0.0116400,0.0116490,0.0116400,0.0116490,17
RUBEUR,D,20160125,000000,0.0116480,0.0120400,0.0114560,0.0114560,302
RUBEUR,D,20160126,000000,0.0114670,0.0118030,0.0111530,0.0117110,307
RUBEUR,D,20160127,000000,0.0117200,0.0118990,0.0115290,0.0117660,308
RUBEUR,D,20160128,000000,0.0117440,0.0120900,0.0116770,0.0119130,315
RUBEUR,D,20160129,000000,0.0119090,0.0122500,0.0118240,0.0121790,306
RUBEUR,D,20160130,000000,0.0121790,0.0121830,0.0120850,0.0121830,19
RUBEUR,D,20160131,000000,0.0121790,0.0121810,0.0121770,0.0121810,12
RUBEUR,D,20160201,000000,0.0120530,0.0122060,0.0118060,0.0118250,283
RUBEUR,D,20160202,000000,0.0118210,0.0118690,0.0114330,0.0114330,300
RUBEUR,D,20160203,000000,0.0114310,0.0117090,0.0112440,0.0116760,307
RUBEUR,D,20160204,000000,0.0116780,0.0118360,0.0115350,0.0115530,300
RUBEUR,D,20160205,000000,0.0115510,0.0116410,0.0114670,0.0115160,297
RUBEUR,D,20160206,000000,0.0115010,0.0115620,0.0114890,0.0115050,19
RUBEUR,D,20160207,000000,0.0114620,0.0114650,0.0114600,0.0114650,25
RUBEUR,D,20160208,000000,0.0114650,0.0117290,0.0112450,0.0113290,296
RUBEUR,D,20160209,000000,0.0113680,0.0115670,0.0110260,0.0110510,300
RUBEUR,D,20160210,000000,0.0110460,0.0114360,0.0110460,0.0111810,296
RUBEUR,D,20160211,000000,0.0111760,0.0113870,0.0108830,0.0109800,303
RUBEUR,D,20160212,000000,0.0109800,0.0113420,0.0109750,0.0112900,304
RUBEUR,D,20160213,000000,0.0112790,0.0112950,0.0112160,0.0112620,20
RUBEUR,D,20160214,000000,0.0113070,0.0113070,0.0113070,0.0113070,1
RUBEUR,D,20160215,000000,0.0113040,0.0115990,0.0112960,0.0114540,286
RUBEUR,D,20160216,000000,0.0115970,0.0117430,0.0113350,0.0113350,294
RUBEUR,D,20160217,000000,0.0114410,0.0119730,0.0113990,0.0118850,277
RUBEUR,D,20160218,000000,0.0118880,0.0119650,0.0117150,0.0117410,290
RUBEUR,D,20160219,000000,0.0117420,0.0117800,0.0115030,0.0116180,295
RUBEUR,D,20160220,000000,0.0116190,0.0116390,0.0115520,0.0115520,20
RUBEUR,D,20160222,000000,0.0115700,0.0120550,0.0114000,0.0120260,287
RUBEUR,D,20160223,000000,0.0119950,0.0122250,0.0118270,0.0118480,302
RUBEUR,D,20160224,000000,0.0118460,0.0119470,0.0116660,0.0119470,258
RUBEUR,D,20160225,000000,0.0118610,0.0120000,0.0117750,0.0120000,296
RUBEUR,D,20160226,000000,0.0120060,0.0121740,0.0118530,0.0119380,286
RUBEUR,D,20160227,000000,0.0119360,0.0120090,0.0119190,0.0120090,20
RUBEUR,D,20160228,000000,0.0120940,0.0120960,0.0119260,0.0119660,12
RUBEUR,D,20160229,000000,0.0119310,0.0123300,0.0119310,0.0121740,301
RUBEUR,D,20160301,000000,0.0121550,0.0125500,0.0120900,0.0125220,310
RUBEUR,D,20160302,000000,0.0125240,0.0126820,0.0123610,0.0125540,305
RUBEUR,D,20160303,000000,0.0125040,0.0125540,0.0123430,0.0124400,284
RUBEUR,D,20160304,000000,0.0124370,0.0126090,0.0123780,0.0125870,293
RUBEUR,D,20160305,000000,0.0125800,0.0125920,0.0124940,0.0125010,20
RUBEUR,D,20160306,000000,0.0125360,0.0125620,0.0125360,0.0125620,22
RUBEUR,D,20160307,000000,0.0125500,0.0127060,0.0125500,0.0126510,253
RUBEUR,D,20160308,000000,0.0126510,0.0126760,0.0123600,0.0124150,292
RUBEUR,D,20160309,000000,0.0124090,0.0127660,0.0123890,0.0127410,290
RUBEUR,D,20160310,000000,0.0127460,0.0131000,0.0123730,0.0124670,279
RUBEUR,D,20160311,000000,0.0124630,0.0129150,0.0124570,0.0127630,286
RUBEUR,D,20160312,000000,0.0127620,0.0129910,0.0127620,0.0127880,20
RUBEUR,D,20160313,000000,0.0127360,0.0128100,0.0127350,0.0128060,22
