<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBUSD,D,20160101,000000,0.0137060,0.0138580,0.0135680,0.0136490,149
RUBUSD,D,20160103,000000,0.0139650,0.0139650,0.0135680,0.0137030,24
RUBUSD,D,20160104,000000,0.0137030,0.0138240,0.0133740,0.0136260,259
RUBUSD,D,20160105,000000,0.0136260,0.0139260,0.0135490,0.0135830,309
RUBUSD,D,20160106,000000,0.0135830,0.0136970,0.0132980,0.0133290,300
RUBUSD,D,20160107,000000,0.0133290,0.0134040,0.0131510,0.0133360,310
RUBUSD,D,20160108,000000,0.0133360,0.0135370,0.0132820,0.0133310,300
RUBUSD,D,20160109,000000,0.0133310,0.0134320,0.0133030,0.0133290,23
RUBUSD,D,20160110,000000,0.0132250,0.0132260,0.0129880,0.0131800,25
RUBUSD,D,20160111,000000,0.0129880,0.0133760,0.0129870,0.0130570,307
RUBUSD,D,20160112,000000,0.0130500,0.0132800,0.0129000,0.0129460,302
RUBUSD,D,20160113,000000,0.0129550,0.0131390,0.0129030,0.0129730,311
RUBUSD,D,20160114,000000,0.0129740,0.0131020,0.0128630,0.0131020,298
RUBUSD,D,20160115,000000,0.0130460,0.0131000,0.0127810,0.0130410,315
RUBUSD,D,20160116,000000,0.0128340,0.0128370,0.0127980,0.0127980,19
RUBUSD,D,20160118,000000,0.0128030,0.0128370,0.0125410,0.0125590,277
RUBUSD,D,20160119,000000,0.0125600,0.0127530,0.0125220,0.0126580,305
RUBUSD,D,20160120,000000,0.0126730,0.0126730,0.0120800,0.0122420,306
RUBUSD,D,20160121,000000,0.0122460,0.0122810,0.0116350,0.0120400,309
RUBUSD,D,20160122,000000,0.0120510,0.0127680,0.0119640,0.0127680,314
RUBUSD,D,20160123,000000,0.0127620,0.0127680,0.0127000,0.0127220,23
RUBUSD,D,20160124,000000,0.0125770,0.0125770,0.0125760,0.0125770,21
RUBUSD,D,20160125,000000,0.0125770,0.0130280,0.0124410,0.0124410,303
RUBUSD,D,20160126,000000,0.0124510,0.0128040,0.0121180,0.0127210,307
RUBUSD,D,20160127,000000,0.0127310,0.0129350,0.0125420,0.0128220,308
RUBUSD,D,20160128,000000,0.0127960,0.0131960,0.0127210,0.0130420,314
RUBUSD,D,20160129,000000,0.0130340,0.0133530,0.0129410,0.0131980,308
RUBUSD,D,20160130,000000,0.0131980,0.0131980,0.0130910,0.0131970,22
RUBUSD,D,20160131,000000,0.0131970,0.0131970,0.0131970,0.0131970,12
RUBUSD,D,20160201,000000,0.0130610,0.0132300,0.0128630,0.0128880,284
RUBUSD,D,20160202,000000,0.0128830,0.0129300,0.0124840,0.0124840,301
RUBUSD,D,20160203,000000,0.0124790,0.0129830,0.0122910,0.0129780,307
RUBUSD,D,20160204,000000,0.0129790,0.0131770,0.0128950,0.0129610,300
RUBUSD,D,20160205,000000,0.0129530,0.0130330,0.0128310,0.0128490,297
RUBUSD,D,20160206,000000,0.0128320,0.0129060,0.0128320,0.0128480,19
RUBUSD,D,20160207,000000,0.0127860,0.0127870,0.0127860,0.0127860,25
RUBUSD,D,20160208,000000,0.0127860,0.0130730,0.0126000,0.0126860,296
RUBUSD,D,20160209,000000,0.0127270,0.0129540,0.0124700,0.0124810,304
RUBUSD,D,20160210,000000,0.0124820,0.0127870,0.0124820,0.0126280,294
RUBUSD,D,20160211,000000,0.0126280,0.0128510,0.0123680,0.0124420,301
RUBUSD,D,20160212,000000,0.0124420,0.0128010,0.0124340,0.0127110,305
RUBUSD,D,20160213,000000,0.0127000,0.0127170,0.0126240,0.0127100,26
RUBUSD,D,20160214,000000,0.0127100,0.0127100,0.0127100,0.0127100,1
RUBUSD,D,20160215,000000,0.0127100,0.0129540,0.0127100,0.0127780,285
RUBUSD,D,20160216,000000,0.0129400,0.0131130,0.0126360,0.0126360,295
RUBUSD,D,20160217,000000,0.0127540,0.0133420,0.0127310,0.0132380,281
RUBUSD,D,20160218,000000,0.0132380,0.0133230,0.0130260,0.0130360,290
RUBUSD,D,20160219,000000,0.0130370,0.0130880,0.0127900,0.0129380,294
RUBUSD,D,20160220,000000,0.0129380,0.0129610,0.0128630,0.0128630,20
RUBUSD,D,20160222,000000,0.0128630,0.0132830,0.0126780,0.0132690,286
RUBUSD,D,20160223,000000,0.0132300,0.0134870,0.0130260,0.0130580,300
RUBUSD,D,20160224,000000,0.0130580,0.0131580,0.0128520,0.0131580,253
RUBUSD,D,20160225,000000,0.0130610,0.0132470,0.0129850,0.0132410,297
RUBUSD,D,20160226,000000,0.0132420,0.0133560,0.0130430,0.0130620,288
RUBUSD,D,20160227,000000,0.0130630,0.0131350,0.0130370,0.0131350,21
RUBUSD,D,20160228,000000,0.0132220,0.0132220,0.0130360,0.0130720,12
RUBUSD,D,20160229,000000,0.0130360,0.0134850,0.0130360,0.0132450,302
RUBUSD,D,20160301,000000,0.0132270,0.0136150,0.0131660,0.0136150,311
RUBUSD,D,20160302,000000,0.0136150,0.0137830,0.0134230,0.0136490,305
RUBUSD,D,20160303,000000,0.0135910,0.0136620,0.0134620,0.0136410,269
RUBUSD,D,20160304,000000,0.0136410,0.0138840,0.0135780,0.0138460,293
RUBUSD,D,20160305,000000,0.0138450,0.0138640,0.0137630,0.0137630,21
RUBUSD,D,20160306,000000,0.0137960,0.0138150,0.0137960,0.0138150,22
RUBUSD,D,20160307,000000,0.0137990,0.0140020,0.0137990,0.0139390,254
RUBUSD,D,20160308,000000,0.0139380,0.0139680,0.0136570,0.0136720,293
RUBUSD,D,20160309,000000,0.0136620,0.0140450,0.0136430,0.0140270,293
RUBUSD,D,20160310,000000,0.0140310,0.0142280,0.0138770,0.0139380,282
RUBUSD,D,20160311,000000,0.0139380,0.0143370,0.0139370,0.0142360,287
RUBUSD,D,20160312,000000,0.0142360,0.0144890,0.0142360,0.0142390,28
RUBUSD,D,20160313,000000,0.0141980,0.0142690,0.0141980,0.0142690,22
RUBUSD,D,20160314,000000,0.0142390,0.0143170,0.0139000,0.0142360,284
RUBUSD,D,20160315,000000,0.0142430,0.0142600,0.0139680,0.0140540,290
RUBUSD,D,20160316,000000,0.0140580,0.0144220,0.0139880,0.0144220,285
RUBUSD,D,20160317,000000,0.0144310,0.0146590,0.0142890,0.0146120,292
RUBUSD,D,20160318,000000,0.0146140,0.0147970,0.0145210,0.0147210,290
RUBUSD,D,20160319,000000,0.0145990,0.0145990,0.0145690,0.0145690,12
RUBUSD,D,20160320,000000,0.0145110,0.0145240,0.0145110,0.0145230,35
RUBUSD,D,20160321,000000,0.0145690,0.0147550,0.0143900,0.0146270,288
RUBUSD,D,20160322,000000,0.0146270,0.0148280,0.0146060,0.0148070,291
RUBUSD,D,20160323,000000,0.0148120,0.0148120,0.0145050,0.0145150,291
RUBUSD,D,20160324,000000,0.0144980,0.0145880,0.0143050,0.0145170,295
RUBUSD,D,20160325,000000,0.0144550,0.0146880,0.0143940,0.0145460,293
RUBUSD,D,20160326,000000,0.0145010,0.0145440,0.0145010,0.0145440,7
RUBUSD,D,20160327,000000,0.0146030,0.0146030,0.0146030,0.0146030,6
RUBUSD,D,20160328,000000,0.0145190,0.0147290,0.0145120,0.0145370,278
RUBUSD,D,20160329,000000,0.0144940,0.0146520,0.0144020,0.0145930,290
RUBUSD,D,20160330,000000,0.0145830,0.0148170,0.0145520,0.0145880,290
RUBUSD,D,20160331,000000,0.0147320,0.0149170,0.0144230,0.0148970,292
RUBUSD,D,20160401,000000,0.0148760,0.0149270,0.0145920,0.0147220,297
RUBUSD,D,20160402,000000,0.0146780,0.0148090,0.0146780,0.0147900,14
RUBUSD,D,20160403,000000,0.0147900,0.0147900,0.0146680,0.0146680,12
RUBUSD,D,20160404,000000,0.0147900,0.0147900,0.0144600,0.0145170,272
RUBUSD,D,20160405,000000,0.0145320,0.0145390,0.0143440,0.0144320,296
RUBUSD,D,20160406,000000,0.0143830,0.0147540,0.0143830,0.0147290,280
RUBUSD,D,20160407,000000,0.0147280,0.0147700,0.0145710,0.0146290,290
RUBUSD,D,20160408,000000,0.0146290,0.0148840,0.0145050,0.0148660,285
RUBUSD,D,20160409,000000,0.0148530,0.0148530,0.0147860,0.0147860,8
RUBUSD,D,20160410,000000,0.0151020,0.0151020,0.0147980,0.0147980,23
RUBUSD,D,20160411,000000,0.0147980,0.0149960,0.0147860,0.0149590,285
RUBUSD,D,20160412,000000,0.0149540,0.0152910,0.0147810,0.0152270,291
RUBUSD,D,20160413,000000,0.0152400,0.0152740,0.0150260,0.0150550,291
RUBUSD,D,20160414,000000,0.0150490,0.0151420,0.0149670,0.0151020,293
RUBUSD,D,20160415,000000,0.0151080,0.0151240,0.0149600,0.0149850,297
RUBUSD,D,20160416,000000,0.0151780,0.0151780,0.0150090,0.0150090,14
RUBUSD,D,20160417,000000,0.0149320,0.0149400,0.0145020,0.0148600,23
RUBUSD,D,20160418,000000,0.0148380,0.0150780,0.0145150,0.0150330,290
RUBUSD,D,20160419,000000,0.0150340,0.0152290,0.0147970,0.0151360,285
RUBUSD,D,20160420,000000,0.0151210,0.0153100,0.0148560,0.0152880,291
RUBUSD,D,20160421,000000,0.0152930,0.0153810,0.0148860,0.0149230,288
RUBUSD,D,20160422,000000,0.0149170,0.0151910,0.0149170,0.0149810,292
RUBUSD,D,20160423,000000,0.0149590,0.0150630,0.0149410,0.0149410,12
RUBUSD,D,20160424,000000,0.0150030,0.0150030,0.0149060,0.0149060,10
RUBUSD,D,20160425,000000,0.0149060,0.0151170,0.0149010,0.0149840,280
RUBUSD,D,20160426,000000,0.0149720,0.0152970,0.0149310,0.0152970,295
RUBUSD,D,20160427,000000,0.0152500,0.0153220,0.0151190,0.0153150,287
RUBUSD,D,20160428,000000,0.0152890,0.0155240,0.0152610,0.0153980,291
RUBUSD,D,20160429,000000,0.0153670,0.0155700,0.0152030,0.0153610,278
RUBUSD,D,20160430,000000,0.0152840,0.0153690,0.0151690,0.0153690,14
RUBUSD,D,20160501,000000,0.0153810,0.0153810,0.0153690,0.0153690,12
RUBUSD,D,20160502,000000,0.0153690,0.0154380,0.0152020,0.0152910,256
RUBUSD,D,20160503,000000,0.0152380,0.0153910,0.0149240,0.0150150,292
RUBUSD,D,20160504,000000,0.0150230,0.0151580,0.0147420,0.0149680,293
RUBUSD,D,20160505,000000,0.0149600,0.0152740,0.0149210,0.0151260,291
RUBUSD,D,20160506,000000,0.0152060,0.0152550,0.0148970,0.0151240,274
RUBUSD,D,20160507,000000,0.0152450,0.0152900,0.0150600,0.0150600,16
RUBUSD,D,20160508,000000,0.0150600,0.0154040,0.0149430,0.0151360,25
RUBUSD,D,20160509,000000,0.0151360,0.0153080,0.0149530,0.0149640,292
RUBUSD,D,20160510,000000,0.0149490,0.0150870,0.0148540,0.0150490,291
RUBUSD,D,20160511,000000,0.0150710,0.0153550,0.0150220,0.0153500,289
RUBUSD,D,20160512,000000,0.0153440,0.0155190,0.0152280,0.0153500,289
RUBUSD,D,20160513,000000,0.0155160,0.0155160,0.0152070,0.0152330,293
RUBUSD,D,20160514,000000,0.0152230,0.0153640,0.0152230,0.0152520,8
RUBUSD,D,20160515,000000,0.0148620,0.0152520,0.0148290,0.0152520,23
RUBUSD,D,20160516,000000,0.0149620,0.0154210,0.0149620,0.0153640,291
RUBUSD,D,20160517,000000,0.0153610,0.0154760,0.0153230,0.0153970,292
RUBUSD,D,20160518,000000,0.0154120,0.0154120,0.0150760,0.0150930,292
RUBUSD,D,20160519,000000,0.0150460,0.0150960,0.0148070,0.0149340,290
RUBUSD,D,20160520,000000,0.0149560,0.0150390,0.0147640,0.0149060,292
RUBUSD,D,20160521,000000,0.0147520,0.0149350,0.0147520,0.0149350,11
RUBUSD,D,20160522,000000,0.0149350,0.0150880,0.0149350,0.0150630,23
RUBUSD,D,20160523,000000,0.0150630,0.0151110,0.0146810,0.0148170,278
RUBUSD,D,20160524,000000,0.0148220,0.0150660,0.0148120,0.0150220,287
RUBUSD,D,20160525,000000,0.0150490,0.0152470,0.0149490,0.0152470,293
RUBUSD,D,20160526,000000,0.0152770,0.0153320,0.0151300,0.0151300,292
RUBUSD,D,20160527,000000,0.0151390,0.0151760,0.0150140,0.0151140,292
RUBUSD,D,20160528,000000,0.0151460,0.0151460,0.0150880,0.0150880,16
RUBUSD,D,20160530,000000,0.0150790,0.0151850,0.0150240,0.0151210,251
RUBUSD,D,20160531,000000,0.0151270,0.0151770,0.0149000,0.0149400,274
