<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20160104,000000,101.0000000,101.7800000,97.9400000,98.0100000,51183990
SBER,D,20160105,000000,97.9400000,99.2400000,97.1600000,98.8900000,48997370
SBER,D,20160106,000000,98.7200000,99.5600000,96.8300000,96.8500000,40688180
SBER,D,20160111,000000,93.7000000,94.8900000,91.0100000,91.0300000,85788320
SBER,D,20160112,000000,89.5000000,92.8800000,88.5200000,91.7100000,109778950
SBER,D,20160113,000000,92.7000000,93.8800000,91.2500000,91.5000000,74000750
SBER,D,20160114,000000,90.9800000,93.1500000,90.3700000,93.0400000,80962520
SBER,D,20160115,000000,92.4300000,92.9500000,86.8500000,87.2700000,133569990
SBER,D,20160118,000000,86.3000000,88.2800000,85.1000000,86.1500000,100385360
SBER,D,20160119,000000,87.3200000,89.7000000,85.7600000,86.6800000,113948150
SBER,D,20160120,000000,84.9000000,85.1900000,82.2000000,83.8300000,134106610
SBER,D,20160121,000000,84.2400000,87.1500000,83.2700000,86.0000000,143653780
SBER,D,20160122,000000,88.9700000,92.2800000,87.6200000,91.5000000,206844770
SBER,D,20160125,000000,92.5500000,93.3500000,90.0000000,91.0000000,131617230
SBER,D,20160126,000000,89.1100000,91.7600000,88.7400000,91.5000000,105032370
SBER,D,20160127,000000,91.9800000,96.2600000,91.4700000,95.7500000,150750760
SBER,D,20160128,000000,95.7800000,97.2800000,94.3300000,96.6900000,179401240
SBER,D,20160129,000000,97.4800000,98.7000000,95.1200000,96.5000000,164734030
SBER,D,20160201,000000,96.3500000,97.4900000,95.2900000,96.5000000,89540470
SBER,D,20160202,000000,95.6700000,97.0700000,93.7500000,94.4000000,128914040
SBER,D,20160203,000000,93.9100000,96.8900000,93.7100000,94.5300000,112674290
SBER,D,20160204,000000,98.4800000,98.4900000,96.7100000,97.5700000,120693420
SBER,D,20160205,000000,97.0100000,97.9800000,96.3500000,97.2000000,81229760
SBER,D,20160208,000000,97.0500000,97.8600000,93.8500000,94.7000000,106112220
SBER,D,20160209,000000,93.9800000,95.6300000,92.7000000,93.8900000,121139330
SBER,D,20160210,000000,93.5000000,96.7700000,93.1600000,96.3500000,111291300
SBER,D,20160211,000000,95.7100000,96.1000000,93.0500000,94.2000000,115241960
SBER,D,20160212,000000,95.1400000,95.6700000,94.1800000,94.8500000,79177230
SBER,D,20160215,000000,96.0100000,96.3700000,94.9300000,95.2500000,68273680
SBER,D,20160216,000000,95.9500000,97.2800000,95.7000000,96.5100000,114762620
SBER,D,20160217,000000,96.5100000,99.3800000,96.0500000,99.2000000,114642730
SBER,D,20160218,000000,99.8800000,102.8000000,99.7500000,102.7000000,125518410
