<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VTBR,D,20160104,000000,0.0795000,0.0795000,0.0770200,0.0771900,7229650000
VTBR,D,20160105,000000,0.0768200,0.0781900,0.0750000,0.0753200,12498090000
VTBR,D,20160106,000000,0.0754900,0.0755000,0.0740000,0.0751700,10875560000
VTBR,D,20160111,000000,0.0737600,0.0739000,0.0720000,0.0722500,11067230000
VTBR,D,20160112,000000,0.0717600,0.0744300,0.0706100,0.0736200,20043470000
VTBR,D,20160113,000000,0.0742400,0.0746500,0.0721000,0.0722500,16340260000
VTBR,D,20160114,000000,0.0710000,0.0730000,0.0710000,0.0718600,20324580000
VTBR,D,20160115,000000,0.0713800,0.0721500,0.0690000,0.0695000,35388520000
VTBR,D,20160118,000000,0.0690000,0.0699700,0.0677900,0.0694000,22292830000
VTBR,D,20160119,000000,0.0700000,0.0712000,0.0682200,0.0694000,28601510000
VTBR,D,20160120,000000,0.0683600,0.0687800,0.0663400,0.0675000,32406130000
VTBR,D,20160121,000000,0.0674900,0.0682900,0.0660500,0.0674900,28818370000
VTBR,D,20160122,000000,0.0682000,0.0703600,0.0661400,0.0696000,43775910000
VTBR,D,20160125,000000,0.0705600,0.0706000,0.0678000,0.0684500,19631810000
VTBR,D,20160126,000000,0.0677500,0.0682500,0.0670000,0.0676600,11745390000
VTBR,D,20160127,000000,0.0678200,0.0688800,0.0676300,0.0686700,13364990000
VTBR,D,20160128,000000,0.0687500,0.0716400,0.0680900,0.0716000,31403500000
VTBR,D,20160129,000000,0.0718700,0.0737000,0.0712700,0.0737000,26959760000
VTBR,D,20160201,000000,0.0734000,0.0748500,0.0725100,0.0735000,15350030000
VTBR,D,20160202,000000,0.0729000,0.0737000,0.0701300,0.0707400,15689090000
VTBR,D,20160203,000000,0.0701400,0.0717400,0.0695100,0.0695200,16396360000
VTBR,D,20160204,000000,0.0708900,0.0724600,0.0705200,0.0719900,18030770000
