<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DJ.E1FIN,D,20160101,000000,101.5000406,101.5000406,101.4947774,101.4947774,238
DJ.E1FIN,D,20160104,000000,101.4631985,101.9053039,97.6895128,98.4474078,9150
DJ.E1FIN,D,20160105,000000,98.3526709,99.3053029,97.3474074,98.1158287,9208
DJ.E1FIN,D,20160106,000000,98.1421445,98.2684604,96.2263543,96.8526703,9585
DJ.E1FIN,D,20160107,000000,96.8000387,97.1474073,93.5579322,95.6526698,10013
DJ.E1FIN,D,20160108,000000,95.5947751,96.3210912,93.5842480,93.8947744,9937
DJ.E1FIN,D,20160111,000000,93.9895113,95.0105643,93.4526690,93.4947742,8571
DJ.E1FIN,D,20160112,000000,93.4842479,95.0000380,93.4053005,94.2737219,9573
DJ.E1FIN,D,20160113,000000,94.2000377,95.8684594,94.0368797,94.6263536,9371
DJ.E1FIN,D,20160114,000000,94.6105642,94.6737221,91.9895105,92.8474056,9829
DJ.E1FIN,D,20160115,000000,92.8631950,93.0000372,90.1000360,90.1737203,9857
DJ.E1FIN,D,20160118,000000,90.2263519,90.7579310,88.6052986,88.7526671,8805
DJ.E1FIN,D,20160119,000000,88.7263513,91.0000364,88.6421407,89.8052991,9335
DJ.E1FIN,D,20160120,000000,89.7947728,90.0316150,85.4579289,85.9631923,9992
DJ.E1FIN,D,20160121,000000,85.9105607,87.4947718,85.3000341,87.4263508,9957
DJ.E1FIN,D,20160122,000000,87.2789823,90.0789834,87.0737190,89.1895094,9317
DJ.E1FIN,D,20160125,000000,89.1579304,89.7947728,87.5474034,87.9789826,8249
DJ.E1FIN,D,20160126,000000,88.0000352,89.0474040,86.1052976,88.9947724,9279
DJ.E1FIN,D,20160127,000000,89.0105619,89.1842462,87.8526667,88.9158250,9174
DJ.E1FIN,D,20160128,000000,88.9789830,89.5316148,87.2579296,87.7684562,9204
DJ.E1FIN,D,20160129,000000,87.7210877,89.3947726,87.3789823,89.3737200,9710
DJ.E1FIN,D,20160317,000000,92.2842474,92.3105632,92.2684580,92.2737211,451
DJ.E1FIN,D,20160318,000000,92.2789843,92.9263530,91.3158260,92.3842475,9319
DJ.E1FIN,D,20160320,000000,92.3684580,92.4053001,92.3421422,92.3737212,214
DJ.E1FIN,D,20160321,000000,92.3684580,93.2000373,91.3526681,91.7842472,7972
DJ.E1FIN,D,20160322,000000,91.7895104,91.9789842,89.6737201,91.1368786,9291
DJ.E1FIN,D,20160323,000000,91.1316154,91.2579312,89.3474042,89.8052991,8560
DJ.E1FIN,D,20160324,000000,89.8000359,89.8368780,87.8316141,87.8737194,9420
