<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DJ.W1FIN,D,20160101,000000,109.2421490,109.2526753,109.2368858,109.2474121,102
DJ.W1FIN,D,20160103,000000,109.2474121,109.2474121,109.2421490,109.2474121,9
DJ.W1FIN,D,20160104,000000,109.1474121,109.1895174,105.9526740,106.6789900,6037
DJ.W1FIN,D,20160105,000000,106.5632005,106.8737270,106.1947793,106.6947795,5383
DJ.W1FIN,D,20160106,000000,106.6895164,106.7210953,105.0421473,105.2158316,5695
DJ.W1FIN,D,20160107,000000,105.1842526,105.2263579,102.7421464,102.8210938,6272
DJ.W1FIN,D,20160108,000000,102.7000411,103.0842518,101.5158301,101.5631985,6127
DJ.W1FIN,D,20160110,000000,101.5526722,101.5526722,101.5474090,101.5474090,4
DJ.W1FIN,D,20160111,000000,101.4684616,101.6684617,100.7105666,101.1158299,5473
DJ.W1FIN,D,20160112,000000,101.1158299,101.7105670,100.6526718,101.2053036,5734
DJ.W1FIN,D,20160113,000000,101.2789879,102.2263567,100.2684612,100.4210928,5745
DJ.W1FIN,D,20160114,000000,100.2895138,100.3579349,99.0579344,100.0631979,6249
DJ.W1FIN,D,20160115,000000,100.2053032,100.2421454,97.2789863,97.7895128,6404
DJ.W1FIN,D,20160117,000000,97.7526707,97.7579338,97.7474075,97.7526707,11
DJ.W1FIN,D,20160118,000000,97.6421443,97.6421443,97.0000388,97.0000388,4896
DJ.W1FIN,D,20160119,000000,96.9631967,98.2842498,96.8316177,97.5053022,6127
DJ.W1FIN,D,20160120,000000,97.4789864,97.4842495,93.8842481,94.8842485,6884
DJ.W1FIN,D,20160121,000000,94.9368801,95.5316172,94.2158272,94.8263537,6911
DJ.W1FIN,D,20160122,000000,94.8579327,97.2263547,94.8579327,96.9947756,5681
DJ.W1FIN,D,20160124,000000,97.0263546,97.0316178,97.0263546,97.0263546,3
DJ.W1FIN,D,20160125,000000,97.1684599,97.5105653,95.8947752,95.9105647,5224
DJ.W1FIN,D,20160126,000000,95.8368804,96.7842492,95.0105643,96.6737229,5493
DJ.W1FIN,D,20160127,000000,96.6842492,97.5842496,96.5053018,96.7526703,5745
DJ.W1FIN,D,20160128,000000,96.6737229,97.3684600,96.4158280,96.7474071,6043
DJ.W1FIN,D,20160129,000000,96.8158282,99.0053028,96.6210913,99.0053028,6120
DJ.W1FIN,D,20160317,000000,104.5053050,104.5789892,104.5053050,104.5421471,190
