"date","ON"
"02.01.2015","0.11260"
"05.01.2015","0.11640"
"06.01.2015","0.11870"
"07.01.2015","0.11890"
"08.01.2015","0.11910"
"09.01.2015","0.11910"
"12.01.2015","0.11650"
"13.01.2015","0.11670"
"14.01.2015","0.11960"
"15.01.2015","0.12010"
"16.01.2015","0.12010"
"19.01.2015","0.12010"
"20.01.2015","0.12080"
"21.01.2015","0.12140"
"22.01.2015","0.12140"
"23.01.2015","0.11990"
"26.01.2015","0.11990"
"27.01.2015","0.11960"
"28.01.2015","0.11770"
"29.01.2015","0.11940"
"30.01.2015","0.11500"
"02.02.2015","0.11600"
"03.02.2015","0.11750"
"04.02.2015","0.11800"
"05.02.2015","0.11800"
"06.02.2015","0.11750"
"09.02.2015","0.11700"
"10.02.2015","0.11600"
"11.02.2015","0.11800"
"12.02.2015","0.11950"
"13.02.2015","0.11750"
"16.02.2015","0.11750"
"17.02.2015","0.11750"
"18.02.2015","0.11800"
"19.02.2015","0.11850"
"20.02.2015","0.12050"
"23.02.2015","0.11900"
"24.02.2015","0.11900"
"25.02.2015","0.11800"
"26.02.2015","0.11800"
"27.02.2015","0.11600"
"02.03.2015","0.11920"
"03.03.2015","0.12150"
"04.03.2015","0.12150"
"05.03.2015","0.12150"
"06.03.2015","0.12150"
"09.03.2015","0.12150"
"10.03.2015","0.12200"
"11.03.2015","0.12200"
"12.03.2015","0.12250"
"13.03.2015","0.12300"
"16.03.2015","0.12300"
"17.03.2015","0.12250"
"18.03.2015","0.12200"
"19.03.2015","0.12200"
"20.03.2015","0.12200"
"23.03.2015","0.12250"
"24.03.2015","0.12200"
"25.03.2015","0.12150"
"26.03.2015","0.12100"
"27.03.2015","0.12100"
"30.03.2015","0.12000"
"31.03.2015","0.11400"
"01.04.2015","0.12250"
"02.04.2015","0.12150"
"07.04.2015","0.12200"
"08.04.2015","0.12100"
"09.04.2015","0.12100"
"10.04.2015","0.12200"
"13.04.2015","0.12200"
"14.04.2015","0.12200"
"15.04.2015","0.12200"
"16.04.2015","0.12200"
"17.04.2015","0.12200"
"20.04.2015","0.12200"
"21.04.2015","0.12250"
"22.04.2015","0.12200"
"23.04.2015","0.12250"
"24.04.2015","0.12250"
"27.04.2015","0.12250"
"28.04.2015","0.12300"
"29.04.2015","0.12300"
"30.04.2015","0.12000"
"01.05.2015","0.12200"
"05.05.2015","0.12300"
"06.05.2015","0.12300"
"07.05.2015","0.12300"
"08.05.2015","0.12300"
"11.05.2015","0.12300"
"12.05.2015","0.12300"
"13.05.2015","0.12300"
"14.05.2015","0.12300"
"15.05.2015","0.12400"
"18.05.2015","0.12400"
"19.05.2015","0.12400"
"20.05.2015","0.12400"
"21.05.2015","0.12400"
"22.05.2015","0.12400"
"26.05.2015","0.12300"
"27.05.2015","0.12300"
"28.05.2015","0.12300"
"29.05.2015","0.12100"
"01.06.2015","0.12300"
"02.06.2015","0.12350"
"03.06.2015","0.12300"
"04.06.2015","0.12300"
"05.06.2015","0.12300"
"08.06.2015","0.12300"
"09.06.2015","0.12300"
"10.06.2015","0.12300"
"11.06.2015","0.12300"
"12.06.2015","0.12300"
"15.06.2015","0.12350"
"16.06.2015","0.12350"
"17.06.2015","0.12300"
