date,type,year
28.03.2017,на прибыль,2017
28.04.2017,на прибыль,2017
28.07.2017,на прибыль,2017
30.10.2017,на прибыль,2017
28.03.2017,на прибыль,2017
28.02.2017,на прибыль,2017
28.03.2017,на прибыль,2017
28.04.2017,на прибыль,2017
29.05.2017,на прибыль,2017
28.06.2017,на прибыль,2017
28.07.2017,на прибыль,2017
28.08.2017,на прибыль,2017
28.09.2017,на прибыль,2017
30.10.2017,на прибыль,2017
28.11.2017,на прибыль,2017
28.12.2017,на прибыль,2017
25.01.2017,НДС,2017
25.04.2017,НДС,2017
25.07.2017,НДС,2017
25.10.2017,НДС,2017
31.03.2017,УСН,2017
02.05.2017,УСН,2017
20.01.2017,ЕНВД,2017
20.04.2017,ЕНВД,2017
20.07.2017,ЕНВД,2017
20.10.2017,ЕНВД,2017
31.03.2017,ЕСХН,2017
28.04.2018,на прибыль,2018
30.07.2018,на прибыль,2018
29.10.2018,на прибыль,2018
28.03.2019,на прибыль,2018
29.01.2018,на прибыль,2018
28.02.2018,на прибыль,2018
28.03.2018,на прибыль,2018
28.04.2018,на прибыль,2018
28.04.2018,на прибыль,2018
28.05.2018,на прибыль,2018
28.06.2018,на прибыль,2018
30.07.2018,на прибыль,2018
30.07.2018,на прибыль,2018
28.08.2018,на прибыль,2018
28.09.2018,на прибыль,2018
29.10.2018,на прибыль,2018
29.10.2018,на прибыль,2018
28.11.2018,на прибыль,2018
28.12.2018,на прибыль,2018
28.03.2019,на прибыль,2018
28.02.2018,на прибыль,2018
28.03.2018,на прибыль,2018
28.04.2018,на прибыль,2018
28.05.2018,на прибыль,2018
28.06.2018,на прибыль,2018
30.07.2018,на прибыль,2018
28.08.2018,на прибыль,2018
28.09.2018,на прибыль,2018
29.10.2018,на прибыль,2018
28.11.2018,на прибыль,2018
28.12.2018,на прибыль,2018
28.03.2019,на прибыль,2018
25.04.2018,НДС,2018
25.05.2018,НДС,2018
25.06.2018,НДС,2018
25.07.2018,НДС,2018
27.08.2018,НДС,2018
25.09.2018,НДС,2018
25.10.2018,НДС,2018
26.11.2018,НДС,2018
25.12.2018,НДС,2018
25.01.2019,НДС,2018
25.02.2019,НДС,2018
25.03.2019,НДС,2018
25.04.2018,УСН,2018
25.07.2018,УСН,2018
25.10.2018,УСН,2018
01.04.2019,УСН,2018
30.04.2019,УСН,2018
31.01.2018,НДФЛ,2018
28.02.2018,НДФЛ,2018
02.04.2018,НДФЛ,2018
03.05.2018,НДФЛ,2018
31.05.2018,НДФЛ,2018
02.07.2018,НДФЛ,2018
31.07.2018,НДФЛ,2018
31.08.2018,НДФЛ,2018
01.10.2018,НДФЛ,2018
31.10.2018,НДФЛ,2018
30.11.2018,НДФЛ,2018
31.12.2018,НДФЛ,2018
25.04.2018,ЕНВД,2018
25.07.2018,ЕНВД,2018
25.10.2018,ЕНВД,2018
25.01.2019,ЕНВД,2018
25.07.2018,ЕСХД,2018
01.04.2019,ЕСХД,2018
