date,ruonia
28.12.2018,7.07
27.12.2018,7.55
26.12.2018,7.43
25.12.2018,7.62
24.12.2018,7.62
21.12.2018,7.66
20.12.2018,7.66
19.12.2018,7.68
18.12.2018,7.67
17.12.2018,7.57
14.12.2018,7.5
13.12.2018,7.38
12.12.2018,7.4
11.12.2018,7.43
10.12.2018,7.42
07.12.2018,7.38
06.12.2018,7.41
05.12.2018,7.41
04.12.2018,7.41
03.12.2018,7.28
30.11.2018,7.5
29.11.2018,7.29
28.11.2018,7.46
27.11.2018,7.57
26.11.2018,7.43
23.11.2018,7.07
22.11.2018,6.91
21.11.2018,7.12
20.11.2018,7.06
19.11.2018,7.01
16.11.2018,6.92
15.11.2018,7.01
14.11.2018,7.15
13.11.2018,7.39
12.11.2018,7.43
09.11.2018,7.37
08.11.2018,7.34
07.11.2018,7.35
06.11.2018,7.5
02.11.2018,7.28
01.11.2018,6.86
31.10.2018,7.06
30.10.2018,7.12
29.10.2018,7.2
26.10.2018,7.25
25.10.2018,7.32
24.10.2018,7.05
23.10.2018,7.1
22.10.2018,7.16
19.10.2018,7.36
18.10.2018,7.41
17.10.2018,7.29
16.10.2018,7.27
15.10.2018,7.35
12.10.2018,7.33
11.10.2018,7.32
10.10.2018,7.16
09.10.2018,7.06
08.10.2018,7.36
05.10.2018,7.53
04.10.2018,7.42
03.10.2018,7.36
02.10.2018,7.25
01.10.2018,7.27
28.09.2018,7.4
27.09.2018,7.23
26.09.2018,7.24
25.09.2018,7.47
24.09.2018,7.22
21.09.2018,7.23
20.09.2018,7.29
19.09.2018,7.01
18.09.2018,7.24
17.09.2018,7.24
14.09.2018,7.02
13.09.2018,7
12.09.2018,6.81
11.09.2018,7.01
10.09.2018,6.98
07.09.2018,6.97
06.09.2018,6.87
05.09.2018,7
04.09.2018,7.17
03.09.2018,7.15
31.08.2018,7.14
30.08.2018,7.14
29.08.2018,7.18
28.08.2018,7.26
27.08.2018,7.22
24.08.2018,6.97
23.08.2018,6.73
22.08.2018,6.96
21.08.2018,6.91
20.08.2018,6.97
17.08.2018,6.95
16.08.2018,7.08
15.08.2018,7.09
14.08.2018,7.18
13.08.2018,7.14
10.08.2018,7.15
09.08.2018,7.1
08.08.2018,7.02
07.08.2018,6.85
06.08.2018,6.86
03.08.2018,6.88
02.08.2018,6.97
01.08.2018,7.04
31.07.2018,7.74
30.07.2018,7.72
27.07.2018,7.71
26.07.2018,7.19
25.07.2018,7
24.07.2018,6.8
23.07.2018,6.76
20.07.2018,7.01
19.07.2018,7.09
18.07.2018,7.05
17.07.2018,7.19
16.07.2018,7.14
13.07.2018,7.13
12.07.2018,7.09
11.07.2018,7.06
10.07.2018,7.03
09.07.2018,6.64
06.07.2018,6.73
05.07.2018,7
04.07.2018,7.02
03.07.2018,6.72
02.07.2018,7.01
29.06.2018,7.16
28.06.2018,7.13
27.06.2018,7.21
26.06.2018,7.27
25.06.2018,7.11
22.06.2018,6.96
21.06.2018,6.96
20.06.2018,6.99
19.06.2018,7
18.06.2018,7.01
15.06.2018,6.98
14.06.2018,7
13.06.2018,6.99
09.06.2018,6.76
08.06.2018,7
07.06.2018,7
06.06.2018,7
05.06.2018,6.75
04.06.2018,6.71
01.06.2018,6.96
31.05.2018,7.1
30.05.2018,7.12
29.05.2018,7.08
28.05.2018,7.07
25.05.2018,6.98
24.05.2018,6.84
23.05.2018,6.98
22.05.2018,7.05
21.05.2018,7.05
18.05.2018,7.15
17.05.2018,7.1
16.05.2018,7.04
15.05.2018,6.98
14.05.2018,6.87
11.05.2018,6.77
10.05.2018,6.79
08.05.2018,6.47
07.05.2018,6.7
04.05.2018,6.84
03.05.2018,7
28.04.2018,7.07
27.04.2018,7
26.04.2018,7.05
25.04.2018,6.91
24.04.2018,6.8
23.04.2018,6.8
20.04.2018,7.03
19.04.2018,7.02
18.04.2018,7.1
17.04.2018,7.01
16.04.2018,7.01
13.04.2018,6.99
12.04.2018,6.99
11.04.2018,7
10.04.2018,7.24
09.04.2018,7.07
06.04.2018,7.06
05.04.2018,7.01
04.04.2018,6.94
03.04.2018,6.98
02.04.2018,7.07
30.03.2018,7.19
29.03.2018,7
28.03.2018,6.88
27.03.2018,7.08
26.03.2018,7.15
23.03.2018,6.9
22.03.2018,7.12
21.03.2018,7.04
20.03.2018,7.16
19.03.2018,7.14
16.03.2018,7.15
15.03.2018,7.28
14.03.2018,7.31
13.03.2018,7.31
12.03.2018,7.31
07.03.2018,7.18
06.03.2018,7.11
05.03.2018,7.25
02.03.2018,7.16
01.03.2018,7.38
28.02.2018,7.5
27.02.2018,7.45
26.02.2018,7.3
22.02.2018,7.23
21.02.2018,7.29
20.02.2018,7.28
19.02.2018,7.28
16.02.2018,7.21
15.02.2018,7.08
14.02.2018,6.96
13.02.2018,6.83
12.02.2018,6.78
09.02.2018,6.99
08.02.2018,7.06
07.02.2018,7.07
06.02.2018,7.23
05.02.2018,7.19
02.02.2018,7.09
01.02.2018,7.26
31.01.2018,7.12
30.01.2018,7.37
29.01.2018,7.35
26.01.2018,7.25
25.01.2018,7.21
24.01.2018,6.93
23.01.2018,6.95
22.01.2018,7.01
19.01.2018,7.01
18.01.2018,7.07
17.01.2018,6.98
16.01.2018,7.02
15.01.2018,7
12.01.2018,7
11.01.2018,7.04
10.01.2018,7.16
09.01.2018,6.88
28.12.2017,7.19
27.12.2017,7.41
26.12.2017,7.58
25.12.2017,7.84
22.12.2017,7.54
21.12.2017,7.5
20.12.2017,7.5
19.12.2017,7.48
18.12.2017,7.54
15.12.2017,7.9
14.12.2017,7.85
13.12.2017,7.97
12.12.2017,7.99
11.12.2017,7.98
08.12.2017,8.09
07.12.2017,8.11
06.12.2017,8.07
05.12.2017,8.07
04.12.2017,7.83
01.12.2017,8.21
30.11.2017,8.24
29.11.2017,8.28
28.11.2017,8.2
27.11.2017,8.03
24.11.2017,7.97
23.11.2017,7.95
22.11.2017,7.96
